lat,lon,name
49.263764,-123.208525,Eastbound W 10 Ave @ Sasamat St
49.263689,-123.205581,Eastbound W 10 Ave @ Trimble St
49.263657,-123.202595,Eastbound W 10 Ave @ Discovery St
49.263605,-123.199436,Eastbound W 10 Ave @ Courtenay St
49.263564,-123.196532,Eastbound W 10 Ave @ Camosun St
49.263526,-123.193422,Eastbound W 10 Ave @ Crown St
49.263472,-123.190678,Eastbound W 10 Ave @ Wallace St
49.263434,-123.187456,Eastbound W 10 Ave @ Highbury St
49.234426,-123.140514,Westbound W 41 Ave @ Granville St
49.234499,-123.145101,Westbound W 41 Ave @ Marguerite St
49.234547,-123.148146,Westbound W 41 Ave @ Angus Dr
49.234633,-123.152449,Westbound W 41 Ave @ Maple St
49.234721,-123.160343,Westbound W 41 Ave @ Vine St
49.234767,-123.163165,Westbound W 41 Ave @ Larch St
49.23481,-123.167912,Westbound W 41 Ave @ Macdonald St
49.234819,-123.170795,Westbound W 41 Ave @ Mackenzie St
49.23482,-123.173542,Westbound W 41 Ave @ Carnarvon St
49.234831,-123.179103,Westbound W 41 Ave @ Blenheim St
49.234836,-123.182546,Westbound W 41 Ave @ Collingwood St
49.235129,-123.185234,Dunbar Loop @ Bay 6
49.236747,-123.185216,Northbound Dunbar St @ W 39 Ave
49.238112,-123.185183,Northbound Dunbar St @ W 38 Ave
49.239851,-123.185157,Northbound Dunbar St @ W 36 Ave
49.241702,-123.185172,Northbound Dunbar St @ W 34 Ave
49.244597,-123.185135,Northbound Dunbar St @ W 31 Ave
49.245532,-123.185125,Northbound Dunbar St @ W 30 Ave
49.247382,-123.185094,Northbound Dunbar St @ W 28 Ave
49.250494,-123.185062,Northbound Dunbar St @ W King Edward Ave
49.253177,-123.18504,Northbound Dunbar St @ W 22 Ave
49.256755,-123.185003,Northbound Dunbar St @ W 18 Ave
49.260126,-123.184213,Northbound Dunbar Diversion @ W 14 Ave
49.261926,-123.185815,Northbound Alma St @ W 12 Ave
49.263872,-123.185744,Northbound Alma St @ W 10 Ave
49.264278,-123.185239,Eastbound W Broadway @ Alma St
49.263995,-123.167357,Eastbound W Broadway @ Macdonald St
49.263906,-123.164293,Eastbound W Broadway @ Trafalgar St
49.263904,-123.16196,Eastbound W Broadway @ Larch St
49.263809,-123.157195,Eastbound W Broadway @ Vine St
49.263766,-123.154253,Eastbound W Broadway @ Arbutus St
49.263611,-123.145163,Eastbound W Broadway @ Burrard St
49.263448,-123.134715,Eastbound W Broadway @ Hemlock St
49.263381,-123.130979,Eastbound W Broadway @ Alder St
49.260251,-123.126842,Southbound Oak St @ W 12 Ave
49.256751,-123.127351,Southbound Oak St @ W 16 Ave
49.254123,-123.127471,Southbound Oak St @ Douglas Cres
49.251423,-123.12759,Southbound Oak St @ Balfour Ave
49.248653,-123.127716,Southbound Oak St @ W King Edward Ave
49.245988,-123.127793,Southbound Oak St @ Nanton Ave
49.244095,-123.127861,Southbound Oak St @ Devonshire Cres
49.241077,-123.12796,Southbound Oak St @ W 33 Ave
49.237306,-123.128102,Southbound Oak St @ W 37 Ave
49.268974,-123.21149,Eastbound W 4th Ave @ Tolmie St
49.268907,-123.2064,Eastbound W 4th Ave @ Trimble St
49.268679,-123.197617,Eastbound W 4th Ave @ 4100 Block
49.26852,-123.190183,Eastbound W 4th Ave @ Wallace St
