name,listing_url,neighbourhood,latitude,longitude,price,room_type,review_scores_rating
East Village Private Garden Gem!,https://www.airbnb.com/rooms/824612,"Vancouver, British Columbia, Canada",49.28618,-123.05403,84.0,Entire home/apt,4.58
Sunny room with private bathroom and large patio,https://www.airbnb.com/rooms/874731,"Vancouver, British Columbia, Canada",49.25785,-123.12199,139.0,Private room,4.53
Heritage Home near Kits Beach,https://www.airbnb.com/rooms/875309,"Vancouver, British Columbia, Canada",49.27073,-123.16325,375.0,Entire home/apt,4.74
"Dunbar near UBC: Clean, comfortable + quiet",https://www.airbnb.com/rooms/885600,"Vancouver, British Columbia, Canada",49.24803,-123.18517,130.0,Entire home/apt,4.92
Private apartment-Yaletown Downtown,https://www.airbnb.com/rooms/958090,,49.27744,-123.11524,434.0,Entire home/apt,4.2
Oakridge Canada Line completely renovated home,https://www.airbnb.com/rooms/961006,"Vancouver, British Columbia, Canada",49.23569,-123.10987,219.0,Entire home/apt,4.33
Spacious Room in Character Home,https://www.airbnb.com/rooms/961831,,49.26648,-123.15939,150.0,Private room,5.0
"261 Yaletown Studio at ""Space""",https://www.airbnb.com/rooms/980511,"Vancouver, British Columbia, Canada",49.27489,-123.12654,82.0,Entire home/apt,4.78
152 Studio (no Bedroom),https://www.airbnb.com/rooms/994969,"Vancouver, British Columbia, Canada",49.28006,-123.12673,79.0,Entire home/apt,4.5
159 2 BEDROOM/ 2 FULL BATH-ideal for sharing!,https://www.airbnb.com/rooms/995174,,49.28837,-123.12766,110.0,Entire home/apt,4.62
S2-LUXURIOUS 2-BR/2-Baths/2-Balcony,https://www.airbnb.com/rooms/1007137,,49.27804,-123.12531,280.0,Entire home/apt,4.0
S1-VIBRANT DOWNTOWN 1-BR + den!,https://www.airbnb.com/rooms/1007144,,49.27828,-123.12671,180.0,Entire home/apt,5.0
comfy stay in clean victorian house,https://www.airbnb.com/rooms/1012385,"Vancouver, British Columbia, Canada",49.25674,-123.0874,120.0,Entire home/apt,4.78
"Light-filled, self-contained studio in Strathcona",https://www.airbnb.com/rooms/1015935,,49.2804,-123.08908,115.0,Entire home/apt,4.8
Deluxe Junior One Bedroom (2 Beds),https://www.airbnb.com/rooms/1021607,"Vancouver, British Columbia, Canada",49.27747,-123.12098,75.0,Entire home/apt,4.84
Yaletown Deluxe Studio Condominium,https://www.airbnb.com/rooms/1021669,"Vancouver, British Columbia, Canada",49.27703,-123.12692,75.0,Entire home/apt,4.75
Artist's Character home in 'hip' Commercial Drive,https://www.airbnb.com/rooms/1032892,"Vancouver, British Columbia, Canada",49.27241,-123.06332,95.0,Private room,4.83
Quiet space minutes from downtown!,https://www.airbnb.com/rooms/1061895,"Vancouver, British Columbia, Canada",49.24166,-123.0407,93.0,Private room,4.77
136 Lord Stanley Great price!,https://www.airbnb.com/rooms/1109821,"Vancouver, British Columbia, Canada",49.29258,-123.13446,72.0,Entire home/apt,4.45
Family-Friendly Kitsilano House with Mountain Views,https://www.airbnb.com/rooms/1113551,"Vancouver, British Columbia, Canada",49.26008,-123.15989,560.0,Entire home/apt,4.83
*Best choice in downtown-5 Stars * -3,https://www.airbnb.com/rooms/1118858,,49.28239,-123.13021,85.0,Private room,4.54
Yaletown/Downtown  1 Bedroom Condo,https://www.airbnb.com/rooms/1126273,,49.28119,-123.12033,99.0,Entire home/apt,0.0
2 Bdrm in Strathcona,https://www.airbnb.com/rooms/1141457,,49.27925,-123.08814,180.0,Entire home/apt,4.75
Bright & Tidy Character Apartment,https://www.airbnb.com/rooms/1162198,"Vancouver, British Columbia, Canada",49.2726,-123.06988,50.0,Private room,4.69
Cozy space in East Vancouver,https://www.airbnb.com/rooms/1178149,"Vancouver, British Columbia, Canada",49.26957,-123.04828,90.0,Entire home/apt,4.91
Elegant Main floor House Vancouver,https://www.airbnb.com/rooms/1187929,"Vancouver, British Columbia, Canada",49.24965,-123.07027,175.0,Entire home/apt,4.83
Beautiful Kitsilano Character home. Great Location,https://www.airbnb.com/rooms/1191143,,49.26716,-123.17653,416.0,Entire home/apt,4.73
Cool cozy place on The Drive w central A/C!,https://www.airbnb.com/rooms/1214617,"Vancouver, British Columbia, Canada",49.26731,-123.06909,229.0,Entire home/apt,4.87
Stunning Suite Heart of DT w/Parking and Office,https://www.airbnb.com/rooms/1223989,"Vancouver, British Columbia, Canada",49.27843,-123.12901,135.0,Entire home/apt,4.85
Brand new 3 bedroom home in central Vancouver,https://www.airbnb.com/rooms/1229506,,49.26596,-123.06844,520.0,Entire home/apt,4.9
Private Hotel-Style Suite in a Downtown Boutique High-Rise,https://www.airbnb.com/rooms/1273760,"Vancouver, British Columbia, Canada",49.28478,-123.1192,252.0,Private room,4.86
Clean New Kits 3 bedroom/ 2bath!,https://www.airbnb.com/rooms/1291394,"Vancouver, British Columbia, Canada",49.26889,-123.18543,150.0,Entire home/apt,4.9
"Beautiful Mount Pleasant home, close to everything",https://www.airbnb.com/rooms/1309315,"Vancouver, British Columbia, Canada",49.26719,-123.10982,399.0,Entire home/apt,4.29
120 501 Pacific,https://www.airbnb.com/rooms/1316419,"Vancouver, British Columbia, Canada",49.28279,-123.1222,72.0,Entire home/apt,4.5
224 Yaletown Park.  Long term stay welcome,https://www.airbnb.com/rooms/1316477,"Vancouver, British Columbia, Canada",49.27859,-123.11993,95.0,Entire home/apt,4.86
Cosy 1 bedroom apt Mount Pleasant,https://www.airbnb.com/rooms/1324743,"Vancouver, British Columbia, Canada",49.25909,-123.10415,92.0,Entire home/apt,4.6
Close to Anywhere: Location Location Location,https://www.airbnb.com/rooms/1343411,"Vancouver, British Columbia, Canada",49.27627,-123.10013,95.0,Entire home/apt,4.7
*Best choice in downtown-5 Stars* -1,https://www.airbnb.com/rooms/1343519,,49.28247,-123.13068,85.0,Private room,4.45
Ultra Modern Apartment in Yaletow,https://www.airbnb.com/rooms/1360765,,49.284,-123.11432,97.0,Entire home/apt,4.75
Private space in heritage home in lovely area,https://www.airbnb.com/rooms/1361276,"Vancouver, British Columbia, Canada",49.25808,-123.07538,150.0,Entire home/apt,4.69
AMAZING LOCATION 1BD CHARMING APT IN DOWNTOWN,https://www.airbnb.com/rooms/1365609,"Vancouver, British Columbia, Canada",49.27932,-123.12911,278.0,Entire home/apt,4.88
QUIET COZY SUNNY BR (ENSUITE) + ADJ STUDY IN HOUSE,https://www.airbnb.com/rooms/1378220,"Vancouver, British Columbia, Canada",49.26026,-123.20135,122.0,Entire home/apt,4.68
