stop_no,stop_name,line_con,Longitude,Latitude,x,y
54835,Southbound Granville St @ W Cloverleaf,010; 016; N10; N17; N9,-123.138572,49.266704,-13707723.132050855,6320237.24494946
56125,Northbound Granville St @ W 41 Ave,010; N10,-123.139463,49.234888,-13707822.317717154,6314811.361720568
56952,Northbound No. 5 Rd @ Bridgeport Rd,407,-123.091401,49.192475,-13702472.080350645,6307583.703848934
56953,Eastbound Vulcan Way @ 12200 Block,407,-123.087685,49.193791,-13702058.417122856,6307807.872036932
56954,Eastbound Vulcan Way @ Sweden Way,407,-123.082255,49.194847,-13701453.95228785,6307987.755989889
56955,Eastbound Vulcan Way @ Viscount Way,407,-123.07839,49.196014,-13701023.702455934,6308186.552666228
56956,Southbound Viking Way @ Vulcan Way,407,-123.073397,49.197093,-13700467.884238403,6308370.362849434
56957,Southbound Viking Way @ Viking Place,407,-123.073409,49.194182,-13700469.220072292,6307874.476348328
56958,Northbound Knight St Bridge Offramp @ SE Marine Dr,405; 407,-123.075497,49.210846,-13700701.65516907,6310713.570049899
56962,Northbound Viking Way @ Bridgeport Rd,405; 407,-123.073233,49.192477,-13700449.627841914,6307584.044525546
56963,Northbound Viking Way @ Viking Place,405; 407,-123.073224,49.194844,-13700448.625966497,6307987.244950493
56964,Westbound Vulcan Way @ Viking Way,407,-123.073845,49.197551,-13700517.75537028,6308448.385436939
56965,Westbound Vulcan Way @ Viscount Way,407,-123.079335,49.195881,-13701128.899374733,6308163.896081565
56966,Westbound Vulcan Way @ Sweden Way,407,-123.082141,49.195023,-13701441.2618659,6308017.737022068
56967,Westbound Vulcan Way @ 12200 Block,407,-123.088263,49.193935,-13702122.759788536,6307832.401440761
56968,Southbound No. 5 Rd @ Vulcan Way,407,-123.091588,49.193513,-13702492.897095423,6307760.516862094
57893,Waterfront Station @ West Coast Express,WCE,-123.110998,49.286502,-13704653.608411722,6323615.351182921
57938,Eastbound University Blvd @ Acadia Rd,004; 009; 014; 044; 084; N17,-123.237822,49.266503,-13718771.591512084,6320202.955540361
57944,Waterfront Station Eastbound,WCE,-123.11158,49.286053,-13704718.396355364,6323538.72388422
57959,Waterfront Station Unload Only,WCE,-123.111512,49.286116,-13704710.826629989,6323549.47555665
57960,Waterfront Station Northbound,SB,-123.111306,49.286063,-13704687.894814884,6323540.430497973
57963,Waterfront Station Southbound,SB,-123.111403,49.286137,-13704698.692805491,6323553.059450513
57964,Waterfront Station @ Platform 2,EL,-123.111578,49.285907,-13704718.17371638,6323513.80736282
57966,Granville Station @ Platform 2,EL,-123.115744,49.283136,-13705181.930715028,6323040.919427372
57967,Stadium-Chinatown Station @ Platform 2,EL,-123.109213,49.279178,-13704454.903120654,6322365.508835401
57968,Main Street-Science World Station @ Platform 2,EL,-123.100399,49.273099,-13703473.733128805,6321328.266989788
57969,Commercial-Broadway Station @ Platform 4,EL,-123.069179,49.262317,-13699998.338626238,6319488.880486131
57970,Nanaimo Station @ Platform 2,EL,-123.055904,49.248283,-13698520.572385956,6317095.311516493
57971,29th Avenue Station @ Platform 2,EL,-123.046136,49.244236,-13697433.203599889,6316405.201796714
57972,Joyce-Collingwood Station @ Platform 2,EL,-123.031827,49.238353,-13695840.333006129,6315402.111286602
57973,Patterson Station @ Platform 2,EL,-123.012678,49.229712,-13693708.676076924,6313928.980098399
57974,Metrotown Station @ Platform 2,EL,-123.00394,49.225781,-13692735.966366377,6313258.902341503
57975,Royal Oak Station @ Platform 2,EL,-122.988475,49.220013,-13691014.410441255,6312275.786290311
57992,Royal Oak Station @ Platform 1,EL,-122.98844,49.22011,-13691010.514259078,6312292.318326613
57993,Metrotown Station @ Platform 1,EL,-123.003876,49.225852,-13692728.841918966,6313271.004519673
57994,Patterson Station @ Platform 1,EL,-123.012613,49.229798,-13693701.440310026,6313943.640243345
57995,Joyce-Collingwood Station @ Platform 1,EL,-123.031759,49.23843,-13695832.763280751,6315415.239525454
57996,29th Avenue Station @ Platform 1,EL,-123.04608,49.24431,-13697426.969708404,6316417.82004844
57997,Nanaimo Station @ Platform 1,EL,-123.055868,49.248334,-13698516.564884288,6317104.008589959
57998,Commercial-Broadway Station @ Platform 3,EL,-123.069077,49.262311,-13699986.984038176,6319487.857010654
57999,Main Street-Science World Station @ Platform 1,EL,-123.10035,49.273172,-13703468.278473755,6321340.722006232
58000,Stadium-Chinatown Station @ Platform 1,EL,-123.109109,49.279271,-13704443.325893614,6322381.378144063
58001,Granville Station @ Platform 1,EL,-123.115674,49.283193,-13705174.13835067,6323050.646554955
58002,Burrard Station @ Platform 1,EL,-123.119598,49.28558,-13705610.956032544,6323458.001449003
58003,Waterfront Station @ Platform 1,EL,-123.111516,49.285962,-13704711.27190795,6323523.193714957
58008,Southbound Lost Lagoon Rd @ Stanley Park Causeway,019,-123.136713,49.296637,-13707516.18911747,6325345.197602746
58023,Westbound W 10 Ave @ Sasamat St,009; 014; 099; N17,-123.209694,49.263905,-13715640.396875052,6319759.764703702
58030,Bus Stop @ Pne Coliseum Loop,016,-123.043632,49.285674,-13697154.459594944,6323474.043478066
58037,Eastbound W Broadway @ Alma St,099,-123.184623,49.264263,-13712849.505921371,6319820.834264214
58042,Kootenay Loop @ Bay 2,160,-123.026062,49.281495,-13695198.576141704,6322760.885365025
58043,Kootenay Loop @ Bay 4,028; 130,-123.025918,49.281365,-13695182.546135029,6322738.701468369
58044,Westbound E Broadway @ Lillooet St,009; N9,-123.039504,49.262004,-13696694.932736946,6319435.489348231
58051,Eastbound Keefer Place @ Taylor St,050,-123.105515,49.279294,-13704043.2436437,6322385.302816414
58054,Heather Square @ Bay 2,050,-123.120135,49.266296,-13705670.7345991,6320167.642712813
58065,Northbound Seymour St @ W Georgia St,N10; N9,-123.117549,49.281477,-13705382.862395909,6322757.813745076
58087,Northbound Commercial Dr @ E 6th Ave,020; N20,-123.069596,49.265331,-13700044.7588539,6320003.022066086
58088,Southbound Smith Ave @ Moscrop St,028,-123.019874,49.242674,-13694509.731132671,6316138.858787169
58089,Westbound Burke St @ Smith Ave,028,-123.020478,49.23703,-13694576.968105111,6315176.547470455
58090,Southbound Smith Ave @ Belleville Ave,028,-123.019922,49.239663,-13694515.074468233,6315625.464631754
58092,Southbound Commercial Dr @ E 12 Ave,020; N20,-123.06995,49.259177,-13700084.16595364,6318953.278661072
58093,Southbound Commercial Dr @ E 14 Ave,020; N20,-123.069954,49.257485,-13700084.6112316,6318664.681869697
58099,Burrard Station @ Bay 5,022; 044,-123.118965,49.285975,-13705540.490794873,6323525.412308812
58109,Eastbound Deer Lake Parkway @ Willingdon Ave,110,-123.002605,49.242827,-13692587.354846166,6316164.947070838
58129,Rupert Station @ Bay 2,027,-123.033896,49.26049,-13696070.653032577,6319177.237953738
58130,Rupert Station @ Bay 1,027,-123.033608,49.260804,-13696038.593019228,6319230.798027689
58133,Northbound Granville St @ W 64 Ave,010; N10,-123.140233,49.213461,-13707908.033725062,6311159.181997876
58135,Southbound Granville St @ W Broadway,009; 010; 016; N10,-123.138707,49.263073,-13707738.160182113,6319617.83939172
