stop_no,stop_name,line_con,Point,boundary
50001,Westbound Davie St @ Bidwell St,023,"[-123.140424, 49.286458]",West End
50011,Eastbound Davie St @ Howe St,006,"[-123.126971, 49.27755]",Downtown
50013,Eastbound Pacific St @ Richards St,023,"[-123.127316, 49.273528999999996]",Downtown
50014,Eastbound Pacific Blvd @ Homer St,023,"[-123.125546, 49.272929]",Downtown
50015,Eastbound Pacific Blvd @ Drake St,023,"[-123.123135, 49.273429]",Downtown
50016,Yaletown-Roundhouse Station @ Bay 4,023,"[-123.120842, 49.274035999999995]",Downtown
50021,Eastbound E Pender St @ Carrall St,019; 022; N19,"[-123.103799, 49.280394]",Downtown
50022,Northbound Columbia St @ E Pender St,050,"[-123.10219599999999, 49.280772]",Downtown
50023,Yaletown-Roundhouse Station @ Bay 1,006,"[-123.12252099999999, 49.274863]",Downtown
50024,Westbound Davie St @ Richards St,006,"[-123.124555, 49.276179]",Downtown
50025,Westbound Davie St @ Granville St,006,"[-123.12651399999999, 49.277437]",Downtown
50026,Westbound Davie St @ Howe St,006; 010,"[-123.12749299999999, 49.278073]",Downtown
50030,Northbound Burrard St @ Robson St,002; 005; 044; N22,"[-123.12213999999999, 49.283592999999996]",Downtown
50031,Burrard Station @ Bay 7,002; 005; 044,"[-123.120503, 49.284688]",Downtown
50034,Northbound Granville St @ W Hastings St,004; 007; 010; 050,"[-123.11335, 49.285553]",Downtown
50035,Waterfront Station @ Bay 3,003; 004; 007; 008; 010; 050; N8,"[-123.11119099999999, 49.284786]",Downtown
50036,Eastbound W Cordova St @ Homer St,003; 004; 007; 008; 050; 209; 210; 211; 214; N8,"[-123.109649, 49.283765]",Downtown
50038,Westbound Powell St @ Columbia St,050,"[-123.102896, 49.283285]",Downtown
50040,Waterfront Station @ Bay 2,050,"[-123.11206899999999, 49.285596999999996]",Downtown
50043,Burrard Station @ Bay 1,002; 005; N22,"[-123.11998200000001, 49.285306]",Downtown
50044,Southbound Burrard St @ W Georgia St,044,"[-123.121677, 49.284178000000004]",West End
50045,Southbound Burrard St @ Robson St,002; N22,"[-123.12333600000001, 49.283087]",West End
50046,Southbound Burrard St @ Barclay St,002; N22,"[-123.12488, 49.282068]",West End
50047,Southbound Burrard St @ Nelson St,002; 044; N22,"[-123.126516, 49.280981]",West End
50048,Westbound Davie St @ Burrard St,006,"[-123.129617, 49.279449]",West End
50049,Westbound Davie St @ Thurlow St,006,"[-123.131638, 49.280756]",West End
50050,Westbound Davie St @ Bute St,006,"[-123.133574, 49.282009]",West End
50051,Westbound Davie St @ Jervis St,006,"[-123.135121, 49.283006]",West End
50052,Westbound Davie St @ Broughton St,006,"[-123.13650700000001, 49.283898]",West End
50053,Westbound Davie St @ Cardero St,006,"[-123.13890900000001, 49.28546]",West End
50054,Eastbound W 16 Ave @ Trutch St,002; 033,"[-123.175459, 49.257636]",Arbutus-Ridge
50055,Eastbound W 16 Ave @ Carnarvon St,002; 033,"[-123.17185, 49.257583000000004]",Arbutus-Ridge
50056,Northbound Macdonald St @ W 16 Ave,002; N22,"[-123.168299, 49.258078999999995]",Kitsilano
50058,Northbound Macdonald St @ W 12 Ave,002; N22,"[-123.16816399999999, 49.261778]",Kitsilano
50060,Northbound Macdonald St @ W Broadway,002; 014; N22,"[-123.168174, 49.264458000000005]",Kitsilano
50061,Northbound Macdonald St @ W 7th Ave,002; 014; N22,"[-123.168302, 49.266073999999996]",Kitsilano
50063,Northbound Macdonald St @ W 4th Ave,002; N22,"[-123.168204, 49.268707]",Kitsilano
50064,Northbound Macdonald St @ W 2nd Ave,002; N22,"[-123.168148, 49.270381]",Kitsilano
50067,Eastbound Cornwall Ave @ Balsam St,002; N22,"[-123.159332, 49.272582]",Kitsilano
50069,Eastbound Cornwall Ave @ Yew St,002; N22,"[-123.154568, 49.272507]",Kitsilano
50070,Eastbound Cornwall Ave @ Arbutus St,002; N22,"[-123.152226, 49.272471]",Kitsilano
50072,Eastbound Cornwall Ave @ Cypress St,002; N22,"[-123.14733999999999, 49.272368]",Kitsilano
50073,Northbound Burrard St @ Pacific St,002; N22,"[-123.13178300000001, 49.277226]",Downtown
50074,Eastbound Davie St @ Burrard St,006,"[-123.128901, 49.278793]",Downtown
50075,Northbound Burrard St @ Davie St,002; 044; N22,"[-123.12925200000001, 49.278884999999995]",Downtown
50076,Eastbound W Pender St @ Burrard St,005; 019; 022; 209; 210; 211; 214; N24,"[-123.117245, 49.286121]",Downtown
50077,Eastbound W Pender St @ Granville St,005; 019; 022; 044; 209; 210; 211; 214; N24,"[-123.11523100000001, 49.284791]",Downtown
50078,Eastbound W Pender St @ Seymour St,005; 014; 017; 019; 022; 209; 210; 211; 214; N15; N19; N24,"[-123.11358899999999, 49.283753000000004]",Downtown
50080,Eastbound W Pender St @ Hamilton St,005; 017; 019; 022; N15; N19; N24,"[-123.11061799999999, 49.281799]",Downtown
50081,Southbound Cambie St @ Dunsmuir St,005; 006; N15; N24,"[-123.11114599999999, 49.280808]",Downtown
50085,Yaletown-Roundhouse Station @ Bay 3,023,"[-123.121945, 49.27402]",Downtown
50086,Westbound Pacific Blvd @ Drake St,023,"[-123.124214, 49.27342]",Downtown
50087,Westbound Pacific St @ Richards St,023,"[-123.12708500000001, 49.273623]",Downtown
50091,Westbound W Pender St @ Carrall St,004; 007; 019; 022; 209; 210; 211; 214; N19,"[-123.104998, 49.280707]",Downtown
50093,Westbound W Pender St @ Abbott St,004; 007; 019; 022; 209; 210; 211; 214; N19,"[-123.10821299999999, 49.281290000000006]",Downtown
50094,Westbound W Pender St @ Hamilton St,004; 005; 007; 019; 022; 209; 210; 211; 214; N19,"[-123.11137, 49.282472]",Downtown
50095,Westbound W Pender St @ Seymour St,004; 005; 007; 010; 019; 022; 209; 210; 211; 214; N19; N22,"[-123.11342900000001, 49.283818]",Downtown
50096,Westbound W Pender St @ Granville St,004; 005; 007; 010; 019; 022; 209; 210; 211; 214; N19; N22; N24,"[-123.11459599999999, 49.284575]",Downtown
50097,Westbound W Pender St @ Howe St,005; 019; 022,"[-123.116055, 49.285523]",Downtown
50098,Southbound Burrard St @ Davie St,002; N22,"[-123.12964, 49.278914]",West End
50103,Westbound Cornwall Ave @ Arbutus St,002; N22,"[-123.15298899999999, 49.272608]",Kitsilano
50104,Westbound Cornwall Ave @ Yew St,002; N22,"[-123.15543899999999, 49.272645000000004]",Kitsilano
50105,Westbound Cornwall Ave @ Point Grey Rd,002; N22,"[-123.16021599999999, 49.272731]",Kitsilano
50106,Westbound Cornwall Ave @ Trafalgar St,002; N22,"[-123.16463600000002, 49.272799]",Kitsilano
50107,Southbound Macdonald St @ W 1st Ave,002; N22,"[-123.168323, 49.270753000000006]",Kitsilano
50109,Southbound Macdonald St @ W 6th Ave,002; 014; N22,"[-123.16848300000001, 49.266273999999996]",Kitsilano
50110,Southbound Macdonald St @ W Broadway,002; N22,"[-123.168373, 49.264268]",Kitsilano
50111,Southbound Macdonald St @ W 11 Ave,002; N22,"[-123.16835, 49.261885]",Kitsilano
50112,Southbound Macdonald St @ W 13 Ave,002; N22,"[-123.168421, 49.260226]",Kitsilano
50113,Southbound Macdonald St @ W 16 Ave,002; N22,"[-123.16849599999999, 49.257315000000006]",Arbutus-Ridge
50114,Westbound W 16 Ave @ Macdonald St,002; 033,"[-123.16889599999999, 49.257816]",Kitsilano
50115,Westbound W 16 Ave @ Mackenzie St,002; 033,"[-123.170777, 49.257839000000004]",Kitsilano
50116,Westbound W 16 Ave @ Balaclava St,002; 033,"[-123.17458, 49.257903999999996]",Kitsilano
50119,Southbound Macdonald St @ W 21 Ave,002; N22,"[-123.16787, 49.253375]",Arbutus-Ridge
50121,Southbound Macdonald St @ Alamein Ave,002; N22,"[-123.16791299999998, 49.249858]",Arbutus-Ridge
50123,Westbound W King Edward Ave @ Puget Dr,002; 025; N22,"[-123.170432, 49.249627000000004]",Dunbar-Southlands
50124,Southbound Quesnel Dr @ W King Edward Ave,002; N22,"[-123.17191399999999, 49.249603]",Dunbar-Southlands
50126,Southbound Mackenzie St @ W 29 Ave,002; N22,"[-123.170308, 49.245847999999995]",Dunbar-Southlands
50128,Southbound Mackenzie St @ W 33 Ave,002; N22,"[-123.170345, 49.241997]",Dunbar-Southlands
50130,Southbound Mackenzie St @ W 37 Ave,002; N22,"[-123.170377, 49.238254]",Dunbar-Southlands
50132,Eastbound W 41 Ave @ Mackenzie St,041,"[-123.16982900000001, 49.234673]",Kerrisdale
50133,Westbound W 41st Ave @ Willow St,041,"[-123.124174, 49.233946]",South Cambie
50134,Eastbound W 41 Ave @ Willow St,041,"[-123.12347700000001, 49.233686999999996]",Oakridge
50136,Oakridge-41st Ave Station @ Bay 2,R4,"[-123.116867, 49.23344]",Oakridge
50137,Eastbound W 41 Ave @ Cambie St,041,"[-123.115623, 49.233415]",Oakridge
50138,Eastbound W 41 Ave @ Columbia St,041,"[-123.11146200000002, 49.233270000000005]",Oakridge
50139,Eastbound W 41 Ave @ Manitoba St,041,"[-123.107725, 49.233142]",Oakridge
50140,Eastbound E 41 Ave @ Ontario St,041,"[-123.105218, 49.233063]",Sunset
50142,Northbound Main St @ SE Marine Dr,003,"[-123.10203500000001, 49.211565]",Sunset
50146,Northbound Main St @ E 59 Ave,003,"[-123.10181899999999, 49.217015]",Sunset
50147,Northbound Main St @ E 57 Ave,003,"[-123.10173999999999, 49.218788]",Sunset
50150,Northbound Main St @ E 51 Ave,003,"[-123.101593, 49.223638]",Sunset
50151,Northbound Main St @ E 49 Ave,003,"[-123.10146999999999, 49.225975]",Sunset
50154,Northbound Main St @ E 43 Ave,003,"[-123.10130600000001, 49.231454]",Sunset
50155,Northbound Main St @ E 41 Ave,003,"[-123.101394, 49.233445]",Riley Park
50156,Westbound E 41 Ave @ Main St,041,"[-123.10208200000001, 49.233207]",Riley Park
50157,Westbound W 41 Ave @ Ontario St,041,"[-123.106197, 49.233269]",Riley Park
50158,Westbound W 41 Ave @ Columbia St,041,"[-123.11121999999999, 49.233442]",Riley Park
50160,Oakridge-41st Ave Station @ Bay 5,041,"[-123.116855, 49.233681]",South Cambie
50162,Northbound Main St @ E 39 Ave,003,"[-123.101505, 49.235734]",Riley Park
50163,Northbound Main St @ E 36 Ave,003,"[-123.101502, 49.23802]",Riley Park
50165,Northbound Main St @ E 33 Ave,003,"[-123.10131399999999, 49.241308000000004]",Riley Park
50166,Northbound Main St @ E 30 Ave,003,"[-123.10123200000001, 49.243553999999996]",Riley Park
50167,Northbound Main St @ E 28 Ave,003,"[-123.101101, 49.245968]",Riley Park
50169,Northbound Main St @ E King Edward Ave,003,"[-123.10089099999999, 49.249121]",Riley Park
50174,Northbound Main St @ E 12 Ave,003,"[-123.10088799999998, 49.260528]",Mount Pleasant
50176,Northbound Main St @ E Broadway,003,"[-123.100792, 49.263233]",Mount Pleasant
50177,Northbound Main St @ E 6th Ave,003; 008; 019; N19; N8,"[-123.10068500000001, 49.265339000000004]",Mount Pleasant
50178,Northbound Main St @ E 5th Ave,003; 008; 019; N19; N8,"[-123.10066200000001, 49.266719]",Mount Pleasant
50179,Northbound Main St @ E 2nd Ave,003; 008; 019; N19; N8,"[-123.100505, 49.269455]",Strathcona
50180,Northbound Main St @ Industrial Ave,003; 008; 019; N19; N8,"[-123.10043200000001, 49.270803]",Strathcona
50181,Main Street-Science World Station @ Bay 2,003; 008; 019; 022; N19; N8,"[-123.09983100000001, 49.273395]",Strathcona
50182,Northbound Main St @ National Ave,003; 008; 019; 022; N19; N8,"[-123.09974799999999, 49.275321000000005]",Strathcona
50184,Northbound Main St @ E Georgia St,003; 008; 019; 022; N19; N8,"[-123.099607, 49.278968]",Strathcona
50185,Westbound E Hastings St @ Main St,003; 008; N20; N35; N8,"[-123.1003, 49.28144]",Downtown
50186,Westbound W Hastings St @ Carrall St,003; 008; 014; 016; 020; N20; N35; N8,"[-123.10536599999999, 49.281733]",Downtown
50187,Westbound W Hastings St @ Abbott St,003; 008; 014; 016; 020; N20; N35; N8,"[-123.108043, 49.282221]",Downtown
50188,Westbound W Hastings St @ Hamilton St,003; 008; 014; 016; 020; N20; N35; N8,"[-123.110279, 49.283085]",Downtown
50189,Southbound Richards St @ W Hastings St,005; 010; 020,"[-123.11242, 49.283796]",Downtown
50190,Southbound Richards St @ Dunsmuir St,020,"[-123.11525300000001, 49.281944]",Downtown
50195,Westbound W 41 Ave @ Oak St,R4,"[-123.12863300000001, 49.234081]",Shaughnessy
50196,Westbound W 41 Ave @ Selkirk St,041,"[-123.132951, 49.234201]",Shaughnessy
50197,Westbound W 41 Ave @ Cartier St,041,"[-123.137, 49.234332]",Shaughnessy
50198,Westbound W 41 Ave @ Granville St,041,"[-123.13916699999999, 49.234390999999995]",Shaughnessy
50199,Eastbound W 41 Ave @ Granville St,R4,"[-123.138484, 49.23422]",Oakridge
50200,Eastbound W 41 Ave @ Selkirk St,041,"[-123.132898, 49.23404]",Oakridge
50201,Eastbound W 41 Ave @ Osler St,041,"[-123.12983600000001, 49.233911]",Oakridge
50203,Northbound Granville St @ W 38 Ave,010; N10,"[-123.139374, 49.237418]",Shaughnessy
50204,Northbound Granville St @ W 36 Ave,010; N10,"[-123.13931000000001, 49.239278999999996]",Shaughnessy
50205,Northbound Granville St @ W 34 Ave,010; N10,"[-123.13923999999999, 49.241186]",Shaughnessy
50206,Northbound Granville St @ Minto Cres,010; N10,"[-123.139178, 49.243144]",Shaughnessy
50207,Northbound Granville St @ N Connaught Dr,010; N10,"[-123.139081, 49.245722]",Shaughnessy
50208,Northbound Granville St @ Nanton Ave,010; N10,"[-123.139023, 49.247690000000006]",Shaughnessy
50209,Northbound Granville St @ W King Edward Ave,010; N10,"[-123.138924, 49.250127]",Shaughnessy
50210,Northbound Granville St @ Balfour Ave,010; N10,"[-123.138834, 49.252263]",Shaughnessy
50211,Northbound Granville St @ Matthews Ave,010; N10,"[-123.13880400000001, 49.253467]",Shaughnessy
50212,Northbound Granville St @ W 16 Ave,010; N10,"[-123.138663, 49.257366999999995]",Fairview
50213,Northbound Granville St @ W 14 Ave,010; N10,"[-123.138595, 49.259209999999996]",Fairview
50214,Northbound Granville St @ W 12 Ave,010; 016; N10,"[-123.13852, 49.261157]",Fairview
50217,Northbound Granville St @ W 7th Ave,010; 014; 016; N10; N17; N9,"[-123.138349, 49.265651]",Fairview
50218,Northbound Granville St @ W 5th Ave,010; 016; N10; N17; N9,"[-123.138259, 49.267404]",Fairview
50220,Northbound Granville St @ Davie St,004; 007; 010; 014; 016; 050,"[-123.125372, 49.277584000000004]",Downtown
50228,Eastbound E Cordova St @ Main St,003; 008; N8,"[-123.09998799999998, 49.282229]",Downtown
50229,Southbound Main St @ E Hastings St,003; 004; 007; 008; N8,"[-123.09981200000001, 49.280809999999995]",Downtown
50230,Southbound Main St @ Keefer St,003; 008; 019; 022; N19; N8,"[-123.099896, 49.279029]",Downtown
50232,Southbound Main St @ National Ave,003; 008; 019; 022; N19; N8,"[-123.100141, 49.274506]",Downtown
50233,Main Street-Science World Station @ Bay 1,003; 008; 019; 023; N19; N8,"[-123.10018899999999, 49.273072]",Downtown
50234,Southbound Main St @ Switchmen St,003; 008; 019; N19; N8,"[-123.100821, 49.270621000000006]",Mount Pleasant
50236,Southbound Main St @ E 5th Ave,003,"[-123.10098899999998, 49.265848999999996]",Mount Pleasant
50240,Southbound Main St @ E 12 Ave,003,"[-123.10127, 49.259888000000004]",Mount Pleasant
50241,Southbound Main St @ E 14 Ave,003,"[-123.10130500000001, 49.258082]",Mount Pleasant
50242,Southbound Main St @ E 16 Ave,003,"[-123.101386, 49.256251]",Riley Park
50244,Southbound Main St @ E 20 Ave,003,"[-123.101095, 49.252395]",Riley Park
50245,Southbound Main St @ E 22 Ave,003,"[-123.10108899999999, 49.250676]",Riley Park
50246,Southbound Main St @ E King Edward Ave,003,"[-123.10119399999999, 49.248466]",Riley Park
50248,Southbound Main St @ E 30 Ave,003,"[-123.10149799999999, 49.243003]",Riley Park
50249,Southbound Main St @ E 33 Ave,003,"[-123.101629, 49.240210999999995]",Riley Park
50250,Southbound Main St @ E 36 Ave,003,"[-123.10171499999998, 49.23788]",Riley Park
50253,Eastbound E 41 Ave @ Main St,R4,"[-123.10191299999998, 49.232966999999995]",Sunset
50255,Southbound Main St @ E 43 Ave,003,"[-123.10159099999998, 49.230612]",Sunset
50256,Southbound Main St @ E 46 Ave,003,"[-123.101625, 49.228145]",Sunset
50258,Southbound Main St @ E 51 Ave,003,"[-123.101804, 49.223508]",Sunset
50259,Southbound Main St @ E 54 Ave,003,"[-123.101949, 49.22075]",Sunset
50260,Southbound Main St @ E 56 Ave,003,"[-123.102003, 49.218969]",Sunset
50263,Southbound Main St @ E 62 Ave,003,"[-123.102217, 49.213842]",Sunset
50264,Southbound Main St @ E 63 Ave,003,"[-123.102245, 49.212975]",Sunset
50265,Eastbound E 65 Ave @ Main St,003,"[-123.101625, 49.211695]",Sunset
50272,Northbound Blanca St @ W 10 Ave,004,"[-123.21506699999999, 49.264289]",West Point Grey
50274,Eastbound W 10 Ave @ Blanca St,009; 014; N17,"[-123.21464099999999, 49.263836]",West Point Grey
50275,Eastbound W 10 Ave @ Tolmie St,009; 014; N17,"[-123.21173700000001, 49.26381]",West Point Grey
50276,Eastbound W 10 Ave @ Sasamat St,009; 014; 099; N17,"[-123.208525, 49.263764]",West Point Grey
50277,Eastbound W 10 Ave @ Trimble St,009; 014; N17,"[-123.20558100000001, 49.263689]",West Point Grey
50278,Eastbound W 10 Ave @ Discovery St,009; 014; N17,"[-123.202595, 49.263657]",West Point Grey
50279,Eastbound W 10 Ave @ Courtenay St,009; 014; N17,"[-123.199436, 49.263605]",West Point Grey
50280,Eastbound W 10 Ave @ Camosun St,009; 014; N17,"[-123.196532, 49.263564]",West Point Grey
50281,Eastbound W 10 Ave @ Crown St,009; 014; N17,"[-123.193422, 49.263526]",West Point Grey
50282,Eastbound W 10 Ave @ Wallace St,009; 014; N17,"[-123.190678, 49.263472]",West Point Grey
50283,Eastbound W 10 Ave @ Highbury St,009; 014; N17,"[-123.18745600000001, 49.263434000000004]",West Point Grey
50284,Westbound W 41 Ave @ Granville St,R4,"[-123.140514, 49.234426]",Shaughnessy
50285,Westbound W 41 Ave @ Marguerite St,041,"[-123.145101, 49.234499]",Shaughnessy
50286,Westbound W 41 Ave @ Angus Dr,041,"[-123.148146, 49.234547]",Shaughnessy
50288,Westbound W 41 Ave @ Maple St,041,"[-123.152449, 49.234633]",Shaughnessy
50290,Westbound W 41 Ave @ Vine St,041,"[-123.160343, 49.234721]",Arbutus-Ridge
50291,Westbound W 41 Ave @ Larch St,041,"[-123.16316499999999, 49.234767]",Arbutus-Ridge
50292,Westbound W 41 Ave @ Macdonald St,041,"[-123.16791200000002, 49.234809999999996]",Arbutus-Ridge
50293,Westbound W 41 Ave @ Mackenzie St,002; 041; N22,"[-123.170795, 49.234819]",Dunbar-Southlands
50294,Westbound W 41 Ave @ Carnarvon St,R4,"[-123.173542, 49.23482]",Dunbar-Southlands
50296,Westbound W 41 Ave @ Blenheim St,002; 041; N22,"[-123.179103, 49.234831]",Dunbar-Southlands
50297,Westbound W 41 Ave @ Collingwood St,002; 041; N22,"[-123.182546, 49.234836]",Dunbar-Southlands
50298,Dunbar Loop @ Bay 6,007,"[-123.18523400000001, 49.235129]",Dunbar-Southlands
50299,Northbound Dunbar St @ W 39 Ave,007,"[-123.185216, 49.236746999999994]",Dunbar-Southlands
50300,Northbound Dunbar St @ W 38 Ave,007,"[-123.18518300000001, 49.238112]",Dunbar-Southlands
50301,Northbound Dunbar St @ W 36 Ave,007,"[-123.185157, 49.239851]",Dunbar-Southlands
50302,Northbound Dunbar St @ W 34 Ave,007,"[-123.185172, 49.241702000000004]",Dunbar-Southlands
50303,Northbound Dunbar St @ W 31 Ave,007,"[-123.185135, 49.244597]",Dunbar-Southlands
50304,Northbound Dunbar St @ W 30 Ave,007,"[-123.185125, 49.245532]",Dunbar-Southlands
50305,Northbound Dunbar St @ W 28 Ave,007,"[-123.18509399999999, 49.247382]",Dunbar-Southlands
50307,Northbound Dunbar St @ W King Edward Ave,007; 025,"[-123.18506200000002, 49.250494]",Dunbar-Southlands
50308,Northbound Dunbar St @ W 22 Ave,007; 025,"[-123.18503999999999, 49.253177]",Dunbar-Southlands
50310,Northbound Dunbar St @ W 18 Ave,007; 025,"[-123.18500300000001, 49.256755]",Dunbar-Southlands
50312,Northbound Dunbar Diversion @ W 14 Ave,007,"[-123.18421299999999, 49.260126]",Kitsilano
50313,Northbound Alma St @ W 12 Ave,007,"[-123.18581499999999, 49.261926]",Kitsilano
50314,Northbound Alma St @ W 10 Ave,007; 014; N17,"[-123.185744, 49.263872]",Kitsilano
50315,Eastbound W Broadway @ Alma St,009; 014; N17,"[-123.185239, 49.264278000000004]",Kitsilano
50319,Eastbound W Broadway @ Macdonald St,009; 099; N17,"[-123.16735700000001, 49.263995]",Kitsilano
50320,Eastbound W Broadway @ Trafalgar St,009; N17,"[-123.16429299999999, 49.263906]",Kitsilano
50321,Eastbound W Broadway @ Larch St,009; N17,"[-123.16196000000001, 49.263904]",Kitsilano
50322,Eastbound W Broadway @ Vine St,009; N17,"[-123.157195, 49.263809]",Kitsilano
50323,Eastbound W Broadway @ Arbutus St,009,"[-123.154253, 49.263766]",Kitsilano
50325,Eastbound W Broadway @ Burrard St,009; N17,"[-123.14516299999998, 49.263611]",Fairview
50327,Eastbound W Broadway @ Hemlock St,009; N9,"[-123.13471499999999, 49.263448]",Fairview
50328,Eastbound W Broadway @ Alder St,009; N9,"[-123.13097900000001, 49.263381]",Fairview
50331,Southbound Oak St @ W 12 Ave,017,"[-123.126842, 49.260251000000004]",Fairview
50333,Southbound Oak St @ W 16 Ave,017,"[-123.127351, 49.256751]",Shaughnessy
50335,Southbound Oak St @ Douglas Cres,017,"[-123.127471, 49.254123]",Shaughnessy
50336,Southbound Oak St @ Balfour Ave,017,"[-123.12758999999998, 49.251422999999996]",Shaughnessy
50337,Southbound Oak St @ W King Edward Ave,017,"[-123.12771599999999, 49.248653000000004]",Shaughnessy
50338,Southbound Oak St @ Nanton Ave,017,"[-123.127793, 49.245988]",Shaughnessy
50339,Southbound Oak St @ Devonshire Cres,017,"[-123.12786100000001, 49.244095]",Shaughnessy
50341,Southbound Oak St @ W 33 Ave,017,"[-123.12796000000002, 49.241077000000004]",Shaughnessy
50342,Southbound Oak St @ W 37 Ave,017,"[-123.128102, 49.237306]",Shaughnessy
50347,Eastbound W 4th Ave @ Tolmie St,004; 044; 084,"[-123.21149, 49.268974]",West Point Grey
50349,Eastbound W 4th Ave @ Trimble St,004,"[-123.2064, 49.268907]",West Point Grey
50350,Eastbound W 4th Ave @ 4100 Block,004; 042; 044; 084,"[-123.197617, 49.268679]",West Point Grey
50352,Eastbound W 4th Ave @ Wallace St,004; 042,"[-123.190183, 49.26852]",West Point Grey
50354,Eastbound W 4th Ave @ Alma St,004; 007; 044; 084,"[-123.18520500000001, 49.268538]",Kitsilano
50355,Southbound Alma St @ W 4th Ave,007; 042,"[-123.18585, 49.268214]",West Point Grey
50356,Southbound Alma St @ W 6th Ave,007; 042,"[-123.185897, 49.266642]",West Point Grey
50357,Southbound Alma St @ W 10 Ave,009; 014; 042; 099; N17,"[-123.18602800000001, 49.26367]",West Point Grey
50359,Southbound Alma St @ W 12 Ave,007,"[-123.18606899999999, 49.261267]",West Point Grey
50360,Southbound Dunbar Diversion @ W 14 Ave,007,"[-123.184374, 49.259980999999996]",West Point Grey
50361,Southbound Dunbar St @ W 15 Ave,007,"[-123.18411599999999, 49.258657]",West Point Grey
50362,Southbound Dunbar St @ W 17 Ave,007; 025,"[-123.185245, 49.257067]",Dunbar-Southlands
50364,Southbound Dunbar St @ W 21 Ave,007; 025,"[-123.18526000000001, 49.253446000000004]",Dunbar-Southlands
50366,Southbound Dunbar St @ W King Edward Ave,007,"[-123.18530200000001, 49.249684]",Dunbar-Southlands
50367,Southbound Dunbar St @ W 27 Ave,007,"[-123.185322, 49.247813]",Dunbar-Southlands
50368,Southbound Dunbar St @ W 29 Ave,007,"[-123.185332, 49.245928]",Dunbar-Southlands
50369,Southbound Dunbar St @ W 31 Ave,007,"[-123.185351, 49.243961999999996]",Dunbar-Southlands
50370,Southbound Dunbar St @ W 33 Ave,007,"[-123.185368, 49.242056]",Dunbar-Southlands
50371,Southbound Dunbar St @ W 35 Ave,007,"[-123.185397, 49.240149]",Dunbar-Southlands
50372,Southbound Dunbar St @ W 37 Ave,007,"[-123.185425, 49.238349]",Dunbar-Southlands
50374,Eastbound W 41 Ave @ Collingwood St,002; 041; N22,"[-123.18163899999999, 49.234687]",Dunbar-Southlands
50375,Eastbound W 41 Ave @ Blenheim St,002; 041; N22,"[-123.178303, 49.234696]",Kerrisdale
50377,Eastbound W 41 Ave @ Carnarvon St,R4,"[-123.172505, 49.234677000000005]",Kerrisdale
50378,Eastbound W 41 Ave @ Macdonald St,041,"[-123.166968, 49.234665]",Arbutus-Ridge
50379,Eastbound W 41 Ave @ Elm St,041,"[-123.16363999999999, 49.234632]",Arbutus-Ridge
50380,Eastbound W 41 Ave @ Balsam St,041,"[-123.160946, 49.234588]",Kerrisdale
50381,Eastbound W 41 Ave @ Yew St,041,"[-123.15813100000001, 49.234552]",Kerrisdale
50383,Eastbound W 41 Ave @ Maple St,041,"[-123.15161599999999, 49.234437]",Kerrisdale
50384,Eastbound W 41 Ave @ Cypress St,041,"[-123.148854, 49.234394]",Kerrisdale
50385,Eastbound W 41 Ave @ Wiltshire St,041,"[-123.14595200000001, 49.234351000000004]",Kerrisdale
50386,Eastbound W 41 Ave @ Adera St,041,"[-123.14289299999999, 49.2343]",Kerrisdale
50388,Eastbound W 41 Ave @ Granville St,041,"[-123.140768, 49.234268]",Kerrisdale
50389,Eastbound W 4th Ave @ Collingwood St,004; 007,"[-123.18121399999998, 49.268471000000005]",Kitsilano
50393,Eastbound W 4th Ave @ Macdonald St,004; 007; 014; 044; 084,"[-123.16777900000001, 49.268274]",Kitsilano
50394,Eastbound W 4th Ave @ Trafalgar St,004; 007; 014,"[-123.164123, 49.268236]",Kitsilano
50397,Eastbound W 4th Ave @ Vine St,004; 007; 014; 044; 084,"[-123.156884, 49.268115]",Kitsilano
50398,Eastbound W 4th Ave @ Arbutus St,004; 007; 014,"[-123.152371, 49.268041]",Kitsilano
50400,Eastbound W 4th Ave @ Burrard St,004; 007; 014; 084,"[-123.145082, 49.26793]",Fairview
50401,Eastbound W 4th Ave @ Fir St,004; 007; 014; 050; 084,"[-123.14014499999999, 49.267853]",Fairview
50403,Westbound W 5th Ave @ Granville St,004; 007; 014; 050,"[-123.137905, 49.266843]",Fairview
50405,Burrard Station @ Bay 2,209; 210; 211; 214,"[-123.12037, 49.286035]",Downtown
50406,Eastbound W Pender St @ Thurlow St,019; 209; 210; 211; 214,"[-123.11920400000001, 49.287073]",Downtown
50407,Northbound Homer St @ W Pender St,014; 209; 210; 211; 214,"[-123.11144099999999, 49.282981]",Downtown
50408,Northbound Seymour St @ W Hastings St,044; R5,"[-123.11253500000001, 49.28481]",Downtown
50410,Southbound Cambie St @ W Hastings St,004; 019; 050,"[-123.109799, 49.282211]",Downtown
50411,Eastbound Nelson St @ Cambie St,017; N15,"[-123.117719, 49.275788]",Downtown
50412,Southbound Cambie St @ W 7th Ave,015; 017; N15,"[-123.11498200000001, 49.264477]",Fairview
50414,Southbound Cambie St @ W 12 Ave,015; N15,"[-123.115144, 49.260113]",Fairview
50415,Southbound Cambie St @ W 16 Ave,015; 033; N15,"[-123.115252, 49.256555]",South Cambie
50416,Southbound Cambie St @ W 18 Ave,015; 033; N15,"[-123.11528200000001, 49.254674]",South Cambie
