stop_no,stop_name,line_con,Point,boundary
58650,Eastbound W 41 Ave @ Crown St,041,"[-123.19466399999999, 49.23468]",Dunbar-Southlands
58652,Westbound E Hastings St @ Lakewood Dr,014; 016; N35,"[-123.062205, 49.28127]",Grandview-Woodland
58661,Eastbound W 2nd Ave @ Anderson St,050,"[-123.13836599999999, 49.269467999999996]",Fairview
58704,Westbound W Georgia St @ Bute St,250; 253; 254,"[-123.125666, 49.287499]",Downtown
58705,Westbound W Georgia St @ Burrard St,250; 253; 254; 257,"[-123.121726, 49.284954]",Downtown
58721,Southbound Burrard St @ Burnaby St,044,"[-123.130164, 49.278573]",West End
58722,Eastbound W Georgia St @ Gilford St,019; 240; 241; 246; 247; 250; 253; 254; N24,"[-123.135601, 49.293655]",West End
58723,Northbound Arbutus St @ W 16 Ave,016,"[-123.152846, 49.257604]",Kitsilano
58762,Southbound Fraser St @ SE Marine Dr,008,"[-123.09122099999999, 49.211303]",Sunset
58893,Westbound W Pender St @ Burrard St,019,"[-123.118031, 49.286833]",Downtown
58953,Westbound E 10 Ave @ Kingsway,009,"[-123.099601, 49.262029999999996]",Mount Pleasant
58954,Southbound Fraser St @ E 31 Ave,008; N8,"[-123.09041699999999, 49.242261]",Riley Park
58955,Northbound Fraser St @ E 31 Ave,008; N8,"[-123.09019599999999, 49.242872]",Kensington-Cedar Cottage
59040,Westbound Robson St @ Granville St,017; 020,"[-123.119551, 49.281279999999995]",Downtown
59041,Southbound Main St @ E 41 Ave,003,"[-123.10163600000001, 49.232735]",Sunset
59042,63 Ave Loop @ Granville St,010; 016,"[-123.140853, 49.21392]",Marpole
59094,Westbound E 41 Ave @ Fleming St,041,"[-123.07323999999998, 49.232762]",Kensington-Cedar Cottage
59102,Westbound W 49 Ave @ Maple St,049,"[-123.152702, 49.227195]",Kerrisdale
59103,Eastbound W 49 Ave @ Maple St,049,"[-123.151905, 49.227063]",Kerrisdale
59317,Eastbound E 49 Ave @ Kerr St,049; 430,"[-123.040479, 49.224659]",Killarney
59318,Westbound E 49 Ave @ Tyne St,049; 430,"[-123.03263600000001, 49.224736]",Killarney
59390,Westbound Pacific St @ Jervis St,023,"[-123.138406, 49.280964000000004]",West End
59391,Westbound Beach Ave @ Bute St,023,"[-123.13733799999999, 49.279589]",West End
59392,Westbound Beach Ave @ Thurlow St,023,"[-123.135648, 49.277896000000005]",West End
59393,Westbound Beach Ave @ Hornby St,023,"[-123.132974, 49.275543]",Downtown
59396,Westbound Beach Ave @ Howe St,023,"[-123.132056, 49.274962]",Downtown
59420,Eastbound Davie St @ Broughton St,006,"[-123.13610600000001, 49.283478]",West End
59431,Eastbound W Broadway @ Spruce St,009; N9,"[-123.128317, 49.263296000000004]",Fairview
59434,Westbound E 49 Ave @ Vivian St,049,"[-123.050858, 49.224856]",Victoria-Fraserview
59513,Eastbound W Georgia St @ Hamilton St,250; 253; 254,"[-123.11448899999999, 49.280019]",Downtown
59525,Westbound Water St @ Abbott St,050,"[-123.10736399999999, 49.28411]",Downtown
59536,Southbound Main St @ E 28 Ave,003,"[-123.101378, 49.245403]",Riley Park
59538,Southbound Main St @ E 59 Ave,003,"[-123.102076, 49.216491]",Sunset
59558,Westbound Dunsmuir St @ Cambie St,257,"[-123.112004, 49.280837]",Downtown
59580,Southbound Main St @ E 2nd Ave,003; 008; 019; N19; N8,"[-123.100898, 49.268688]",Mount Pleasant
59581,Northbound Main St @ E 16 Ave,003,"[-123.101068, 49.256943]",Mount Pleasant
59582,Northbound Main St @ E 14 Ave,003,"[-123.10098899999998, 49.258782000000004]",Mount Pleasant
59583,Southbound Main St @ E 49 Ave,003,"[-123.10178, 49.225333]",Sunset
59664,Joyce Station @ Bay 7,027,"[-123.03126599999999, 49.238723]",Renfrew-Collingwood
59751,Westbound W 6th Ave @ Alder Crossing,084,"[-123.132576, 49.266199]",Fairview
59754,Eastbound W 6th Ave @ Heather St,084,"[-123.120144, 49.265832]",Fairview
59758,Eastbound W 2nd Ave @ Columbia St,084,"[-123.109733, 49.269028999999996]",Mount Pleasant
59760,Eastbound E 2nd Ave @ Ontario St,084,"[-123.104153, 49.269125]",Mount Pleasant
59761,Westbound E 2nd Ave @ Main St,084,"[-123.10121699999999, 49.269283]",Mount Pleasant
59763,Eastbound Great Northern Way @ Brunswick St,084,"[-123.09581200000001, 49.266743]",Mount Pleasant
59765,Westbound Great Northern Way @ Foley St,084,"[-123.08713700000001, 49.266404]",Strathcona
59766,Eastbound Great Northern Way @ Foley St,084,"[-123.086122, 49.266021]",Mount Pleasant
59767,VCC-Clark Station @ Unloading Only,084,"[-123.079842, 49.265975]",Strathcona
59803,VCC-Clark Station @ Bay 1,084,"[-123.079447, 49.265476]",Strathcona
59831,Southbound Howe St @ W Pender St,014; 016; 050,"[-123.116344, 49.285047999999996]",Downtown
59832,Southbound Howe St @ Dunsmuir St,N15; N19; N20; N24,"[-123.11706699999999, 49.284576]",Downtown
59835,Northbound Main St @ E 18 Ave,003,"[-123.10098400000001, 49.255006]",Riley Park
59836,Northbound Main St @ E 20 Ave,003,"[-123.10076299999999, 49.253226]",Riley Park
59837,Northbound Main St @ E 22 Ave,003,"[-123.100866, 49.251452]",Riley Park
59838,Southbound Main St @ E 39 Ave,003,"[-123.101698, 49.235131]",Riley Park
59842,Northbound Main St @ E 46 Ave,003,"[-123.101386, 49.228719]",Sunset
59843,Northbound Main St @ 54 Ave,003,"[-123.101649, 49.221340000000005]",Sunset
59844,Northbound Main St @ E 62 Ave,003,"[-123.101909, 49.214622999999996]",Sunset
59860,Eastbound Davie St @ Richards St,006,"[-123.12452900000001, 49.275982]",Downtown
59889,Kootenay Loop @ Bay 1,131,"[-123.025625, 49.281403000000005]",Hastings-Sunrise
59914,Westbound Pacific Blvd @ Cambie St,023,"[-123.11968300000001, 49.274606]",Downtown
59916,Eastbound Pacific Blvd @ Boathouse Mews,023,"[-123.11763300000001, 49.27421]",Downtown
59918,Eastbound Pacific Blvd @ Marinaside Cres,023,"[-123.114446, 49.274212]",Downtown
59919,Northbound Pat Quinn Way @ Pacific Blvd,023,"[-123.107546, 49.277432]",Downtown
59923,Westbound Keefer Place @ Taylor St,023,"[-123.106439, 49.279581]",Downtown
59924,Southbound Quebec St @ Keefer St,023,"[-123.102218, 49.279008000000005]",Downtown
59925,Northbound Quebec St @ Terminal Ave,023,"[-123.10153400000002, 49.273368]",Downtown
59926,Eastbound National Ave @ Quebec St,023,"[-123.10146399999999, 49.27487]",Downtown
