name,listing_url,neighbourhood,latitude,longitude,price,room_type,review_scores_rating,entertainment,food
Sunset views - LGBTQ2+ friendly,https://www.airbnb.com/rooms/306178,,49.23273,-123.02747,84.0,Private room,4.95,0,0
Close to downtown/shops/restaurants/skytrain,https://www.airbnb.com/rooms/311354,"Vancouver, British Columbia, Canada",49.26328,-123.07086,100.0,Entire home/apt,4.0,0,0
Modern Yaletown 1BR | GREAT VIEW + CENTRAL,https://www.airbnb.com/rooms/322824,,49.27608,-123.12452,182.0,Entire home/apt,4.89,62,1151637
Stylish Modern Central Downtown★★★★★★★,https://www.airbnb.com/rooms/359942,"Vancouver, British Columbia, Canada",49.27634,-123.11825,263.0,Private room,4.85,26,534605
Bright Spacious Bedroom Pvt Bath,https://www.airbnb.com/rooms/377706,"Vancouver, British Columbia, Canada",49.27799,-123.07101,48.0,Private room,4.68,0,0
"LARGE PRIVATE ROOM+BATH, KING BED, dedicated entry",https://www.airbnb.com/rooms/415700,"Vancouver, British Columbia, Canada",49.2332,-123.0551,83.0,Private room,4.73,0,0
Trendy & Spacious 2 bd Gastown Loft,https://www.airbnb.com/rooms/436032,,49.28211,-123.10453,290.0,Entire home/apt,4.83,0,632463
Home (Office) Away from Home – Heart of Downtown,https://www.airbnb.com/rooms/448104,"Vancouver, British Columbia, Canada",49.28063,-123.12502,162.0,Entire home/apt,4.88,226,841728
Beautiful room (s) Vancouver Home,https://www.airbnb.com/rooms/461386,,49.23034,-123.02971,141.0,Private room,4.42,0,0
"House in sought-after Sunrise Hastings, Vancouver",https://www.airbnb.com/rooms/464172,,49.28586,-123.05563,231.0,Entire home/apt,4.8,0,0
Inspiring Gastown loft with deck + rooftop,https://www.airbnb.com/rooms/475296,,49.28241,-123.10381,350.0,Entire home/apt,4.85,0,466717
Vancouver One Bedroom,https://www.airbnb.com/rooms/485225,,49.28052,-123.12691,358.0,Entire home/apt,4.0,163,618067
"Downtown 1Bed+Den, stylish & modern",https://www.airbnb.com/rooms/496298,,49.28062,-123.11815,124.0,Entire home/apt,4.92,52,1641056
Central Modern House with View and 2 Kitchens,https://www.airbnb.com/rooms/498112,"Vancouver, British Columbia, Canada",49.25099,-123.07457,375.0,Entire home/apt,4.7,0,0
Modern Architectural lakeside Home On The Park,https://www.airbnb.com/rooms/540348,"Vancouver, British Columbia, Canada",49.25759,-123.06393,500.0,Entire home/apt,4.91,0,0
Moments from downtown Vancouver!,https://www.airbnb.com/rooms/544358,,49.27234,-123.01326,145.0,Entire home/apt,4.26,0,0
Commercial Dr West Coast Garden Ste,https://www.airbnb.com/rooms/557357,"Vancouver, British Columbia, Canada",49.27917,-123.06246,80.0,Entire home/apt,4.89,0,0
Sub-Penthouse with Amazing Views in Heart of City,https://www.airbnb.com/rooms/622217,"Vancouver, British Columbia, Canada",49.27999,-123.1075,556.0,Entire home/apt,4.96,4,548261
Close to Jericho beach garden level open space.,https://www.airbnb.com/rooms/625396,,49.27066,-123.18291,380.0,Private room,4.76,0,0
Quiet Oasis Garden Suite - Steps from the Drive,https://www.airbnb.com/rooms/648026,"Vancouver, British Columbia, Canada",49.26775,-123.06862,84.0,Entire home/apt,4.87,0,0
English Bay Hideaway @ Stanley Park,https://www.airbnb.com/rooms/654744,"Vancouver, British Columbia, Canada",49.29178,-123.14175,150.0,Entire home/apt,4.75,0,1076
1 Bedroom Private Furnished Suite,https://www.airbnb.com/rooms/654763,,49.2506,-123.07175,52.0,Entire home/apt,4.7,0,0
Nice room in amazing luxury home near DOWNTOWN+UBC,https://www.airbnb.com/rooms/659986,"Vancouver, British Columbia, Canada",49.24413,-123.11955,96.0,Private room,4.33,0,0
Entire cute  condo full of art,https://www.airbnb.com/rooms/703179,"Vancouver, British Columbia, Canada",49.27945,-123.10875,190.0,Entire home/apt,4.8,4,245615
Luxury Seaview Studio Suite - Westend,https://www.airbnb.com/rooms/713271,,49.28104,-123.13621,135.0,Entire home/apt,4.77,0,6970
Kitsilano Laneway House - Quiet Neighbourhood,https://www.airbnb.com/rooms/731219,"Vancouver, British Columbia, Canada",49.26026,-123.18195,150.0,Entire home/apt,4.92,0,0
English Bay Views,https://www.airbnb.com/rooms/735468,,49.28059,-123.1364,200.0,Entire home/apt,4.63,0,7207
Kitsilano 2 bdrm Garden Level Suite,https://www.airbnb.com/rooms/755558,"Vancouver, British Columbia, Canada",49.25996,-123.16653,125.0,Entire home/apt,4.86,0,0
Very Convenient Mini-suite,https://www.airbnb.com/rooms/763445,,49.24438,-123.04453,62.0,Entire home/apt,4.76,0,0
Level | Studio | Lux Amenities Downtown Vancouver,https://www.airbnb.com/rooms/771366,"Vancouver, British Columbia, Canada",49.2794,-123.12181,225.0,Entire home/apt,5.0,297,1851521
Level | Two Bedroom Suite | Lux Amenities Downtown,https://www.airbnb.com/rooms/771380,"Vancouver, British Columbia, Canada",49.27918,-123.12187,375.0,Entire home/apt,4.67,293,1856957
The Garden Quarter in Kitsilano,https://www.airbnb.com/rooms/784153,"Vancouver, British Columbia, Canada",49.26186,-123.17438,92.0,Entire home/apt,4.79,0,0
The Nook in Kitsilano,https://www.airbnb.com/rooms/785297,"Vancouver, British Columbia, Canada",49.26355,-123.17326,86.0,Private room,4.89,0,0
The Garden Nook in Kitsilano,https://www.airbnb.com/rooms/785752,"Vancouver, British Columbia, Canada",49.26213,-123.17482,134.0,Entire home/apt,5.0,0,0
Exellent for International Student,https://www.airbnb.com/rooms/796603,,49.28087,-123.13525,30.0,Shared room,,0,9104
fully furnished suite near VGH,https://www.airbnb.com/rooms/801222,,49.25804,-123.12119,106.0,Entire home/apt,4.59,0,0
East Village Private Garden Gem!,https://www.airbnb.com/rooms/824612,"Vancouver, British Columbia, Canada",49.28618,-123.05403,84.0,Entire home/apt,4.58,0,0
Sunny room with private bathroom and large patio,https://www.airbnb.com/rooms/874731,"Vancouver, British Columbia, Canada",49.25785,-123.12199,139.0,Private room,4.53,0,0
Heritage Home near Kits Beach,https://www.airbnb.com/rooms/875309,"Vancouver, British Columbia, Canada",49.27073,-123.16325,375.0,Entire home/apt,4.74,0,0
"Dunbar near UBC: Clean, comfortable + quiet",https://www.airbnb.com/rooms/885600,"Vancouver, British Columbia, Canada",49.24803,-123.18517,130.0,Entire home/apt,4.92,0,0
Private apartment-Yaletown Downtown,https://www.airbnb.com/rooms/958090,,49.27744,-123.11524,434.0,Entire home/apt,4.2,4,181454
Oakridge Canada Line completely renovated home,https://www.airbnb.com/rooms/961006,"Vancouver, British Columbia, Canada",49.23569,-123.10987,219.0,Entire home/apt,4.33,0,0
Spacious Room in Character Home,https://www.airbnb.com/rooms/961831,,49.26648,-123.15939,150.0,Private room,5.0,0,0
"261 Yaletown Studio at ""Space""",https://www.airbnb.com/rooms/980511,"Vancouver, British Columbia, Canada",49.27489,-123.12654,82.0,Entire home/apt,4.78,15,352778
