geometry,id,count
"POLYGON ((-2074193.9508518088 13892146.815991485, -2074234.1432306734 13891996.815991485, -2074343.9508518088 13891887.008370351, -2074493.9508518088 13891846.815991485, -2074643.9508518088 13891887.008370351, -2074753.7584729441 13891996.815991485, -2074793.9508518088 13892146.815991485, -2074753.7584729441 13892296.815991485, -2074643.9508518088 13892406.62361262, -2074493.9508518088 13892446.815991485, -2074343.9508518088 13892406.62361262, -2074234.1432306734 13892296.815991485, -2074193.9508518088 13892146.815991485))",608,9
"POLYGON ((-2072634.7488849703 13887582.970310843, -2072674.941263835 13887432.970310843, -2072784.7488849703 13887323.162689708, -2072934.7488849703 13887282.970310843, -2073084.7488849703 13887323.162689708, -2073194.5565061057 13887432.970310843, -2073234.7488849703 13887582.970310843, -2073194.5565061057 13887732.970310843, -2073084.7488849703 13887842.777931977, -2072934.7488849703 13887882.970310843, -2072784.7488849703 13887842.777931977, -2072674.941263835 13887732.970310843, -2072634.7488849703 13887582.970310843))",301,9
"POLYGON ((-2074213.2967730137 13892116.709787285, -2074253.4891518783 13891966.709787285, -2074363.2967730137 13891856.90216615, -2074513.2967730137 13891816.709787285, -2074663.2967730137 13891856.90216615, -2074773.104394149 13891966.709787285, -2074813.2967730137 13892116.709787285, -2074773.104394149 13892266.709787285, -2074663.2967730137 13892376.51740842, -2074513.2967730137 13892416.709787285, -2074363.2967730137 13892376.51740842, -2074253.4891518783 13892266.709787285, -2074213.2967730137 13892116.709787285))",723,9
"POLYGON ((-2074452.2026075318 13892373.91738272, -2074492.3949863964 13892223.91738272, -2074602.2026075318 13892114.109761586, -2074752.2026075318 13892073.91738272, -2074902.2026075318 13892114.109761586, -2075012.0102286672 13892223.91738272, -2075052.2026075318 13892373.91738272, -2075012.0102286672 13892523.91738272, -2074902.2026075318 13892633.725003855, -2074752.2026075318 13892673.91738272, -2074602.2026075318 13892633.725003855, -2074492.3949863964 13892523.91738272, -2074452.2026075318 13892373.91738272))",616,9
"POLYGON ((-2074366.7265801034 13892368.72376313, -2074406.918958968 13892218.72376313, -2074516.7265801034 13892108.916141996, -2074666.7265801034 13892068.72376313, -2074816.7265801034 13892108.916141996, -2074926.5342012388 13892218.72376313, -2074966.7265801034 13892368.72376313, -2074926.5342012388 13892518.72376313, -2074816.7265801034 13892628.531384265, -2074666.7265801034 13892668.72376313, -2074516.7265801034 13892628.531384265, -2074406.918958968 13892518.72376313, -2074366.7265801034 13892368.72376313))",617,9
"POLYGON ((-2072648.3363546443 13887516.31710801, -2072688.528733509 13887366.31710801, -2072798.3363546443 13887256.509486876, -2072948.3363546443 13887216.31710801, -2073098.3363546443 13887256.509486876, -2073208.1439757796 13887366.31710801, -2073248.3363546443 13887516.31710801, -2073208.1439757796 13887666.31710801, -2073098.3363546443 13887776.124729145, -2072948.3363546443 13887816.31710801, -2072798.3363546443 13887776.124729145, -2072688.528733509 13887666.31710801, -2072648.3363546443 13887516.31710801))",350,9
"POLYGON ((-2072587.2159249356 13887583.86296003, -2072627.4083038003 13887433.86296003, -2072737.2159249356 13887324.055338895, -2072887.2159249356 13887283.86296003, -2073037.2159249356 13887324.055338895, -2073147.023546071 13887433.86296003, -2073187.2159249356 13887583.86296003, -2073147.023546071 13887733.86296003, -2073037.2159249356 13887843.670581164, -2072887.2159249356 13887883.86296003, -2072737.2159249356 13887843.670581164, -2072627.4083038003 13887733.86296003, -2072587.2159249356 13887583.86296003))",297,9
"POLYGON ((-2074256.4480699971 13892299.15758466, -2074296.6404488618 13892149.15758466, -2074406.4480699971 13892039.349963525, -2074556.4480699971 13891999.15758466, -2074706.4480699971 13892039.349963525, -2074816.2556911325 13892149.15758466, -2074856.4480699971 13892299.15758466, -2074816.2556911325 13892449.15758466, -2074706.4480699971 13892558.965205794, -2074556.4480699971 13892599.15758466, -2074406.4480699971 13892558.965205794, -2074296.6404488618 13892449.15758466, -2074256.4480699971 13892299.15758466))",765,9
"POLYGON ((-2074212.9297760637 13892249.924335502, -2074253.1221549283 13892099.924335502, -2074362.9297760637 13891990.116714368, -2074512.9297760637 13891949.924335502, -2074662.9297760637 13891990.116714368, -2074772.737397199 13892099.924335502, -2074812.9297760637 13892249.924335502, -2074772.737397199 13892399.924335502, -2074662.9297760637 13892509.731956637, -2074512.9297760637 13892549.924335502, -2074362.9297760637 13892509.731956637, -2074253.1221549283 13892399.924335502, -2074212.9297760637 13892249.924335502))",766,9
"POLYGON ((-2074189.7937612692 13892199.035384843, -2074229.9861401338 13892049.035384843, -2074339.7937612692 13891939.227763709, -2074489.7937612692 13891899.035384843, -2074639.7937612692 13891939.227763709, -2074749.6013824046 13892049.035384843, -2074789.7937612692 13892199.035384843, -2074749.6013824046 13892349.035384843, -2074639.7937612692 13892458.843005978, -2074489.7937612692 13892499.035384843, -2074339.7937612692 13892458.843005978, -2074229.9861401338 13892349.035384843, -2074189.7937612692 13892199.035384843))",605,9
