name,listing_url,neighbourhood,latitude,longitude,price,room_type,review_scores_rating
2 Bedroom Garden Flat - Main Street,https://www.airbnb.com/rooms/1717967,"Vancouver, British Columbia, Canada",49.24778,-123.09867,186.0,Entire home/apt,4.92
SoMa Suite - Main Street Cool,https://www.airbnb.com/rooms/1768817,"Vancouver, British Columbia, Canada",49.24489,-123.10302,105.0,Entire home/apt,4.87
Cozy Retreat - Strathcona,https://www.airbnb.com/rooms/1830733,,49.27866,-123.08627,125.0,Entire home/apt,4.9
GREAT SUITE w GARDEN PATIO!  CENTRALLY LOCATED!!,https://www.airbnb.com/rooms/2003897,"Vancouver, British Columbia, Canada",49.26263,-123.11627,130.0,Entire home/apt,5.0
Amazing View from a Modern Loft,https://www.airbnb.com/rooms/2008047,,49.28519,-123.09872,160.0,Entire home/apt,4.83
Experience Vancouver on the Drive!,https://www.airbnb.com/rooms/2017305,"Vancouver, British Columbia, Canada",49.26411,-123.06803,189.0,Entire home/apt,4.64
"Kitsilano Point, very clean, welcoming and bright",https://www.airbnb.com/rooms/2041582,"Vancouver, British Columbia, Canada",49.2753,-123.14721,120.0,Entire home/apt,4.96
Yaletown 1BD Condo @ Homer & Robson,https://www.airbnb.com/rooms/2042431,"Vancouver, British Columbia, Canada",49.28005,-123.11659,150.0,Entire home/apt,4.89
Cozy Modern apartment in Yaletown,https://www.airbnb.com/rooms/2056676,,49.27393,-123.11599,110.0,Entire home/apt,4.49
A spacious modern apartment,https://www.airbnb.com/rooms/2092610,"Vancouver, British Columbia, Canada",49.2655,-123.0969,150.0,Entire home/apt,4.73
# C -Private Studio 20 min to Downtown Vancouver,https://www.airbnb.com/rooms/2145092,"Burnaby, British Columbia, Canada",49.25317,-123.01296,103.0,Entire home/apt,4.76
South Granville 2 bedroom townhome,https://www.airbnb.com/rooms/2168943,,49.25972,-123.14269,175.0,Entire home/apt,4.93
Kitsilano PENTHOUSE,https://www.airbnb.com/rooms/2183209,"Vancouver, British Columbia, Canada",49.26597,-123.15633,150.0,Entire home/apt,4.75
Gorgeous home in Yaletown,https://www.airbnb.com/rooms/2198419,"Vancouver, British Columbia, Canada",49.2773,-123.12294,115.0,Entire home/apt,4.94
Bright Kitsilano Garden Apartment,https://www.airbnb.com/rooms/2216062,,49.26992,-123.18596,105.0,Entire home/apt,4.96
Vancouver Quality Coach House,https://www.airbnb.com/rooms/2454353,"Vancouver, British Columbia, Canada",49.23748,-123.08735,125.0,Entire home/apt,4.97
Monthly- Marinaside Ocean View Apartment -Yaletown,https://www.airbnb.com/rooms/2468591,"Vancouver, British Columbia, Canada",49.27449,-123.11679,150.0,Entire home/apt,4.67
"Bright 1 bed suite, great location",https://www.airbnb.com/rooms/2576878,"Vancouver, British Columbia, Canada",49.25865,-123.12294,106.0,Entire home/apt,4.83
Ann's Place,https://www.airbnb.com/rooms/2592307,"Vancouver, British Columbia, Canada",49.25222,-123.1186,112.0,Entire home/apt,4.92
Modern 2 Level Loft in East Van,https://www.airbnb.com/rooms/2644110,"Vancouver, British Columbia, Canada",49.28545,-123.06435,113.0,Entire home/apt,4.86
"266  -2 bedroom /sleeps 4 ""The Electra"" Downtown",https://www.airbnb.com/rooms/2658803,"Vancouver, British Columbia, Canada",49.28169,-123.12628,103.0,Entire home/apt,4.53
"1 bedroom modern furnishing, cozy, & the view!",https://www.airbnb.com/rooms/2728122,"Vancouver, British Columbia, Canada",49.26872,-123.15201,110.0,Entire home/apt,4.86
"Water Views Downtown, Vancouver, BC",https://www.airbnb.com/rooms/2836478,"Vancouver, British Columbia, Canada",49.27293,-123.12547,132.0,Entire home/apt,5.0
Breathtaking Mountain & Water Views,https://www.airbnb.com/rooms/2876573,"Vancouver, British Columbia, Canada",49.28945,-123.12665,156.0,Entire home/apt,
"Private, Modern, 1 bed, 1 bath, and kitchen",https://www.airbnb.com/rooms/2889958,"Vancouver, British Columbia, Canada",49.25819,-123.19988,129.0,Entire home/apt,4.92
Luxury Modern Apartment at Yaletown,https://www.airbnb.com/rooms/2944104,,49.27795,-123.11734,104.0,Entire home/apt,4.63
105 GOOD VALUE 2 BEDROOM in Quiet Westend,https://www.airbnb.com/rooms/2988185,"Vancouver, British Columbia, Canada",49.28884,-123.13288,107.0,Entire home/apt,4.8
"Spacious, Convenient & Quiet New Vancouver suite",https://www.airbnb.com/rooms/3012524,"Burnaby, British Columbia, Canada",49.24605,-123.02329,177.0,Entire home/apt,4.76
"2 Bed Sunny, Point Grey Patio Suite",https://www.airbnb.com/rooms/3021408,"Vancouver, British Columbia, Canada",49.26229,-123.20888,175.0,Entire home/apt,4.82
Beautiful Apartment in Vancouver's Kitsilano,https://www.airbnb.com/rooms/3068198,,49.26682,-123.15312,119.0,Entire home/apt,5.0
STYLISH SUITE w/ Pool/Sauna/Hottub/Gym EXCELLENT $,https://www.airbnb.com/rooms/3100878,"Vancouver, British Columbia, Canada",49.27622,-123.12585,110.0,Entire home/apt,5.0
"New suite in Kits, total privacy/spacious/quiet",https://www.airbnb.com/rooms/3142563,"Vancouver, British Columbia, Canada",49.26366,-123.18138,159.0,Entire home/apt,4.88
Family Friendly Accessible East Van Home,https://www.airbnb.com/rooms/3158923,,49.26802,-123.07374,146.0,Entire home/apt,
Waterfront apartment w/ great view,https://www.airbnb.com/rooms/3165779,,49.27284,-123.11328,200.0,Entire home/apt,
Cozy modern suite near Main St (min stay 30 days),https://www.airbnb.com/rooms/3215295,"Vancouver, British Columbia, Canada",49.2498,-123.10378,100.0,Entire home/apt,4.86
147 VIEW 1 Bedroom in Coal Harbour,https://www.airbnb.com/rooms/3230030,"Vancouver, British Columbia, Canada",49.28875,-123.12417,103.0,Entire home/apt,5.0
161 1 Bedroom COAL HARBOUR SEAWALL,https://www.airbnb.com/rooms/3230315,"Vancouver, British Columbia, Canada",49.28886,-123.12616,103.0,Entire home/apt,4.67
Best Waterfront View in Vancouver! 2Br & Parking,https://www.airbnb.com/rooms/3239463,"Vancouver, British Columbia, Canada",49.27359,-123.10051,200.0,Entire home/apt,4.83
Modern Downtown Park View Condo!,https://www.airbnb.com/rooms/3241017,"Vancouver, British Columbia, Canada",49.2782,-123.10575,142.0,Entire home/apt,4.93
170 1 BED- VIEW SUITE!,https://www.airbnb.com/rooms/3248395,"Vancouver, British Columbia, Canada",49.28488,-123.11244,103.0,Entire home/apt,4.67
Furnished ShortTerm Executive Suite,https://www.airbnb.com/rooms/3352591,"Vancouver, British Columbia, Canada",49.23656,-123.02782,130.0,Entire home/apt,
Character Studio.Great DT location.,https://www.airbnb.com/rooms/3415750,"Vancouver, British Columbia, Canada",49.28374,-123.12267,120.0,Entire home/apt,4.67
Garden Level Private Suite,https://www.airbnb.com/rooms/3577737,"Vancouver, British Columbia, Canada",49.27021,-123.03816,125.0,Entire home/apt,4.72
Private Garden Suite on the Drive,https://www.airbnb.com/rooms/3629071,"Vancouver, British Columbia, Canada",49.27198,-123.0681,115.0,Entire home/apt,4.92
Kriszta's Lovely Little Hideaway,https://www.airbnb.com/rooms/3678989,"Vancouver, British Columbia, Canada",49.27166,-123.06616,120.0,Entire home/apt,4.73
Charming Cozy Condo Commercial Dr Licence#20159722,https://www.airbnb.com/rooms/3679016,"Vancouver, British Columbia, Canada",49.27412,-123.07405,117.0,Entire home/apt,4.97
Large apt. with great Patio in Kits,https://www.airbnb.com/rooms/3766620,"Vancouver, British Columbia, Canada",49.26268,-123.14881,180.0,Entire home/apt,4.41
Family home in Mount Pleasant,https://www.airbnb.com/rooms/3803319,"Vancouver, British Columbia, Canada",49.25725,-123.08369,199.0,Entire home/apt,4.83
Downtown Vancouver No Car Required,https://www.airbnb.com/rooms/3857478,"Vancouver, British Columbia, Canada",49.2852,-123.13391,200.0,Entire home/apt,4.85
"Budget & Beautiful on ""The Drive"" + Gigabit Fiber",https://www.airbnb.com/rooms/3888379,"Vancouver, British Columbia, Canada",49.26756,-123.06667,130.0,Entire home/apt,4.6
Modern Studio on Commercial Dr.,https://www.airbnb.com/rooms/4016671,,49.26645,-123.06893,148.0,Entire home/apt,4.89
"Relax, Enjoy and Stay @ MYPlace",https://www.airbnb.com/rooms/4075378,"Vancouver, British Columbia, Canada",49.27399,-123.12399,120.0,Entire home/apt,4.66
D64 - 2 br downtown luxury suite,https://www.airbnb.com/rooms/4120301,,49.27949,-123.10711,165.0,Entire home/apt,4.47
Charming farm suite in Van City,https://www.airbnb.com/rooms/4121741,"Vancouver, British Columbia, Canada",49.22539,-123.17667,182.0,Entire home/apt,4.67
"Charming Suite In Historic Grandview Woodland""",https://www.airbnb.com/rooms/4137579,"Vancouver, British Columbia, Canada",49.27585,-123.06803,181.0,Entire home/apt,4.85
"Heart of Downtown by Robson/Burrard, parking!",https://www.airbnb.com/rooms/4225233,"Vancouver, British Columbia, Canada",49.28409,-123.12462,128.0,Entire home/apt,4.84
East Village One Bedroom Garden Suite,https://www.airbnb.com/rooms/4256725,"Vancouver, British Columbia, Canada",49.28675,-123.04766,104.0,Entire home/apt,4.96
Yaletown High-Rise Studio Overlooking BC Place,https://www.airbnb.com/rooms/4318059,"Vancouver, British Columbia, Canada",49.27707,-123.11507,200.0,Entire home/apt,4.95
Kitsilano Garden level cozy Suite,https://www.airbnb.com/rooms/4348412,"Vancouver, British Columbia, Canada",49.2669,-123.16656,140.0,Entire home/apt,4.86
Cozy Family Friendly House - 3 bed+ den,https://www.airbnb.com/rooms/4377155,"Vancouver, British Columbia, Canada",49.25595,-123.07807,156.0,Entire home/apt,4.87
Along the Garden Path,https://www.airbnb.com/rooms/4493377,"Vancouver, British Columbia, Canada",49.26137,-123.16982,140.0,Entire home/apt,4.85
Spacious 2-bedrooms in West Point Grey,https://www.airbnb.com/rooms/4568364,"Vancouver, British Columbia, Canada",49.26424,-123.20055,164.0,Entire home/apt,4.74
Immaculate 1br Walk-Up Corner Unit,https://www.airbnb.com/rooms/4630113,"Vancouver, British Columbia, Canada",49.2346,-123.02652,100.0,Entire home/apt,5.0
Luxury Townhouse w/ Private Rooftop Patio,https://www.airbnb.com/rooms/4637856,"Vancouver, British Columbia, Canada",49.28111,-123.07293,110.0,Entire home/apt,5.0
StudioSweet,https://www.airbnb.com/rooms/4659229,"Vancouver, British Columbia, Canada",49.25107,-123.1025,125.0,Entire home/apt,4.7
Gorgeous New House 2 Bedroom Suite,https://www.airbnb.com/rooms/4701190,"Vancouver, British Columbia, Canada",49.24961,-123.03755,130.0,Entire home/apt,4.8
Elegant Private Suite off Broadway,https://www.airbnb.com/rooms/4888430,"Vancouver, British Columbia, Canada",49.261467,-123.082291,100.0,Entire home/apt,4.93
Gorgeous 1-Bdr – Walk Everywhere!,https://www.airbnb.com/rooms/5040320,"Vancouver, British Columbia, Canada",49.27993,-123.1263,168.0,Entire home/apt,4.95
O1 - High Rise Yaletown Condo with City and Park Views,https://www.airbnb.com/rooms/5154272,"Vancouver, British Columbia, Canada",49.27508,-123.12388,150.0,Entire home/apt,4.92
1 Bedroom 1 Den free Parking SPA with A/C Downtown,https://www.airbnb.com/rooms/5347437,"Vancouver, British Columbia, Canada",49.28045,-123.10871,200.0,Entire home/apt,4.4
Gorgeous City Views from a Relaxed Apartment,https://www.airbnb.com/rooms/5423637,"Vancouver, British Columbia, Canada",49.2827,-123.1241,155.0,Entire home/apt,4.89
CENTRAL DOWNTOWN YALETOWN VANCOUVER + PARKING,https://www.airbnb.com/rooms/5439203,"Vancouver, British Columbia, Canada",49.27638,-123.12394,135.0,Entire home/apt,4.91
A Mount Pleasant Gem,https://www.airbnb.com/rooms/5459210,"Vancouver, British Columbia, Canada",49.25853,-123.08005,130.0,Entire home/apt,4.6
Downtown Vancouver Studio,https://www.airbnb.com/rooms/5571829,"Vancouver, British Columbia, Canada",49.27832,-123.12109,109.0,Entire home/apt,5.0
Comfy Garden Suite Close to Town,https://www.airbnb.com/rooms/5631903,"Vancouver, British Columbia, Canada",49.24942,-123.12413,147.0,Entire home/apt,4.83
Cozy one bedroom in coal harbour.,https://www.airbnb.com/rooms/5670706,,49.28722,-123.12588,139.0,Entire home/apt,4.93
The Mosaic Suite@ Grandview House,https://www.airbnb.com/rooms/5747556,"Vancouver, British Columbia, Canada",49.27213668823242,-123.07023620605467,160.0,Entire home/apt,4.78
Modern Condo on Keefer Street (Downtown/Chinatown),https://www.airbnb.com/rooms/5759976,"Vancouver, British Columbia, Canada",49.27851,-123.09941,125.0,Entire home/apt,4.87
"Modern Guesthouse Suite, 5 min walk to Skytrain",https://www.airbnb.com/rooms/5814747,"Vancouver, British Columbia, Canada",49.24554,-123.05089,173.0,Entire home/apt,4.91
Renovated 1 Bedroom w Den Downtown,https://www.airbnb.com/rooms/5877217,"Vancouver, British Columbia, Canada",49.28941,-123.12908,120.0,Entire home/apt,4.88
Private. Trendy Neighbourhood. Sleeps 5.,https://www.airbnb.com/rooms/5881530,"Vancouver, British Columbia, Canada",49.27675,-123.06537,154.0,Entire home/apt,4.94
C1 - Luxurious Waterfront Mid Century Modern + Den,https://www.airbnb.com/rooms/5919984,"Vancouver, British Columbia, Canada",49.27555,-123.11307,150.0,Entire home/apt,5.0
Elegant Family Home on Seawall,https://www.airbnb.com/rooms/6166558,"Vancouver, British Columbia, Canada",49.26649,-123.12179,195.0,Entire home/apt,4.6
Luxury living,https://www.airbnb.com/rooms/6239107,"Vancouver, British Columbia, Canada",49.27809,-123.12919,196.0,Entire home/apt,4.64
Elegant Cottage Style Suite,https://www.airbnb.com/rooms/6347338,"Vancouver, British Columbia, Canada",49.25076,-123.10873,135.0,Entire home/apt,4.9
Large Heritage Flat in East Van,https://www.airbnb.com/rooms/6365193,"Vancouver, British Columbia, Canada",49.2716,-123.06175,125.0,Entire home/apt,4.8
Penthouse with Private Rooftop Deck,https://www.airbnb.com/rooms/6416204,"Vancouver, British Columbia, Canada",49.27942,-123.13355,150.0,Entire home/apt,4.94
Quiet Kerrisdale location,https://www.airbnb.com/rooms/6435598,"Vancouver, British Columbia, Canada",49.22694,-123.15632,125.0,Entire home/apt,4.96
Quiet & Comfy Private Studio,https://www.airbnb.com/rooms/6437953,"Burnaby, British Columbia, Canada",49.24688,-123.01704,133.0,Entire home/apt,4.79
Hotel Apartment,https://www.airbnb.com/rooms/6452450,"Vancouver, British Columbia, Canada",49.29241,-123.13471,105.0,Entire home/apt,4.75
Charming Mount Pleasant Apartment,https://www.airbnb.com/rooms/6493890,"Vancouver, British Columbia, Canada",49.26644,-123.08922,115.0,Entire home/apt,4.81
Heart of downtown  Vancouver,https://www.airbnb.com/rooms/6602481,"Vancouver, British Columbia, Canada",49.27806,-123.13061,160.0,Entire home/apt,4.65
Modern Downtown Townhome (Loft) 1 bedroom and den,https://www.airbnb.com/rooms/6643391,"Vancouver, British Columbia, Canada",49.27551,-123.12431,175.0,Entire home/apt,4.58
Joe's apartment in Mount Pleasant,https://www.airbnb.com/rooms/6679736,"Vancouver, British Columbia, Canada",49.2581,-123.10179,100.0,Entire home/apt,4.53
"Fresh-look, 3-bedroom suite",https://www.airbnb.com/rooms/6765180,"Vancouver, British Columbia, Canada",49.24197,-123.10083,130.0,Entire home/apt,4.0
Spacious 2-bed Private Suite,https://www.airbnb.com/rooms/6871805,"Vancouver, British Columbia, Canada",49.2439,-123.08738,115.0,Entire home/apt,4.85
Cozy Loft in the heart of Vancouver,https://www.airbnb.com/rooms/6939529,"Vancouver, British Columbia, Canada",49.22347,-123.14169,150.0,Entire home/apt,4.75
"Tastefully modern, central location",https://www.airbnb.com/rooms/6975013,"Vancouver, British Columbia, Canada",49.26484,-123.09867,157.0,Entire home/apt,4.77
Are you looking for the perfect family spot?,https://www.airbnb.com/rooms/6977279,"Vancouver, British Columbia, Canada",49.217,-123.09479,198.0,Entire home/apt,4.75
LUXURY POOL OASIS in the Centre of it All!,https://www.airbnb.com/rooms/7025378,"Vancouver, British Columbia, Canada",49.22609,-123.16761,150.0,Entire home/apt,4.97
Boutique Laneway Home,https://www.airbnb.com/rooms/7027063,,49.24631,-123.08651,120.0,Entire home/apt,5.0
1 bedroom suit for rent,https://www.airbnb.com/rooms/7032078,"Vancouver, British Columbia, Canada",49.28122,-123.02748,120.0,Entire home/apt,4.86
City Townhouse with Private Rooftop Deck and Parking,https://www.airbnb.com/rooms/7109101,"Vancouver, British Columbia, Canada",49.27799,-123.10527,139.0,Entire home/apt,4.95
Cambie Village Cozy & Convenient One Bedroom,https://www.airbnb.com/rooms/7148892,"Vancouver, British Columbia, Canada",49.25558,-123.11997,116.0,Entire home/apt,4.92
LARGE CENTRAL MODERN FURNISHED LOFT,https://www.airbnb.com/rooms/7162553,"Vancouver, British Columbia, Canada",49.26686,-123.09706,195.0,Entire home/apt,4.32
Cottage Collingwood 1-Bedroom Suite at Bsmt level,https://www.airbnb.com/rooms/7206626,"Vancouver, British Columbia, Canada",49.2559,-123.18094,145.0,Entire home/apt,4.77
