geometry,id,count
"POLYGON ((-2072766.0014382317 13887682.258852497, -2072806.1938170963 13887532.258852497, -2072916.0014382317 13887422.451231362, -2073066.0014382317 13887382.258852497, -2073216.0014382317 13887422.451231362, -2073325.809059367 13887532.258852497, -2073366.0014382317 13887682.258852497, -2073325.809059367 13887832.258852497, -2073216.0014382317 13887942.066473631, -2073066.0014382317 13887982.258852497, -2072916.0014382317 13887942.066473631, -2072806.1938170963 13887832.258852497, -2072766.0014382317 13887682.258852497))",61,7
"POLYGON ((-2072693.9497870454 13887736.445958652, -2072734.14216591 13887586.445958652, -2072843.9497870454 13887476.638337517, -2072993.9497870454 13887436.445958652, -2073143.9497870454 13887476.638337517, -2073253.7574081807 13887586.445958652, -2073293.9497870454 13887736.445958652, -2073253.7574081807 13887886.445958652, -2073143.9497870454 13887996.253579786, -2072993.9497870454 13888036.445958652, -2072843.9497870454 13887996.253579786, -2072734.14216591 13887886.445958652, -2072693.9497870454 13887736.445958652))",66,7
"POLYGON ((-2072515.3395261993 13887567.652528418, -2072555.531905064 13887417.652528418, -2072665.3395261993 13887307.844907284, -2072815.3395261993 13887267.652528418, -2072965.3395261993 13887307.844907284, -2073075.1471473346 13887417.652528418, -2073115.3395261993 13887567.652528418, -2073075.1471473346 13887717.652528418, -2072965.3395261993 13887827.460149553, -2072815.3395261993 13887867.652528418, -2072665.3395261993 13887827.460149553, -2072555.531905064 13887717.652528418, -2072515.3395261993 13887567.652528418))",58,7
"POLYGON ((-2072639.5402697334 13887630.709334487, -2072679.732648598 13887480.709334487, -2072789.5402697334 13887370.901713353, -2072939.5402697334 13887330.709334487, -2073089.5402697334 13887370.901713353, -2073199.3478908688 13887480.709334487, -2073239.5402697334 13887630.709334487, -2073199.3478908688 13887780.709334487, -2073089.5402697334 13887890.516955622, -2072939.5402697334 13887930.709334487, -2072789.5402697334 13887890.516955622, -2072679.732648598 13887780.709334487, -2072639.5402697334 13887630.709334487))",14,7
"POLYGON ((-2072558.5678793371 13887633.434682567, -2072598.7602582017 13887483.434682567, -2072708.5678793371 13887373.627061432, -2072858.5678793371 13887333.434682567, -2073008.5678793371 13887373.627061432, -2073118.3755004725 13887483.434682567, -2073158.5678793371 13887633.434682567, -2073118.3755004725 13887783.434682567, -2073008.5678793371 13887893.242303701, -2072858.5678793371 13887933.434682567, -2072708.5678793371 13887893.242303701, -2072598.7602582017 13887783.434682567, -2072558.5678793371 13887633.434682567))",15,7
"POLYGON ((-2072585.0755802433 13887660.112745913, -2072625.2679591079 13887510.112745913, -2072735.0755802433 13887400.305124778, -2072885.0755802433 13887360.112745913, -2073035.0755802433 13887400.305124778, -2073144.8832013786 13887510.112745913, -2073185.0755802433 13887660.112745913, -2073144.8832013786 13887810.112745913, -2073035.0755802433 13887919.920367047, -2072885.0755802433 13887960.112745913, -2072735.0755802433 13887919.920367047, -2072625.2679591079 13887810.112745913, -2072585.0755802433 13887660.112745913))",18,7
"POLYGON ((-2072563.302910275 13887658.537732307, -2072603.4952891397 13887508.537732307, -2072713.302910275 13887398.730111172, -2072863.302910275 13887358.537732307, -2073013.302910275 13887398.730111172, -2073123.1105314104 13887508.537732307, -2073163.302910275 13887658.537732307, -2073123.1105314104 13887808.537732307, -2073013.302910275 13887918.345353441, -2072863.302910275 13887958.537732307, -2072713.302910275 13887918.345353441, -2072603.4952891397 13887808.537732307, -2072563.302910275 13887658.537732307))",19,7
"POLYGON ((-2072621.6726136461 13887513.54449825, -2072661.8649925108 13887363.54449825, -2072771.6726136461 13887253.736877115, -2072921.6726136461 13887213.54449825, -2073071.6726136461 13887253.736877115, -2073181.4802347815 13887363.54449825, -2073221.6726136461 13887513.54449825, -2073181.4802347815 13887663.54449825, -2073071.6726136461 13887773.352119384, -2072921.6726136461 13887813.54449825, -2072771.6726136461 13887773.352119384, -2072661.8649925108 13887663.54449825, -2072621.6726136461 13887513.54449825))",11,7
"POLYGON ((-2072535.5234361475 13887495.463298112, -2072575.715815012 13887345.463298112, -2072685.5234361475 13887235.655676978, -2072835.5234361475 13887195.463298112, -2072985.5234361475 13887235.655676978, -2073095.3310572829 13887345.463298112, -2073135.5234361475 13887495.463298112, -2073095.3310572829 13887645.463298112, -2072985.5234361475 13887755.270919247, -2072835.5234361475 13887795.463298112, -2072685.5234361475 13887755.270919247, -2072575.715815012 13887645.463298112, -2072535.5234361475 13887495.463298112))",168,6
"POLYGON ((-2072246.5246836003 13888918.417906618, -2072286.717062465 13888768.417906618, -2072396.5246836003 13888658.610285483, -2072546.5246836003 13888618.417906618, -2072696.5246836003 13888658.610285483, -2072806.3323047357 13888768.417906618, -2072846.5246836003 13888918.417906618, -2072806.3323047357 13889068.417906618, -2072696.5246836003 13889178.225527752, -2072546.5246836003 13889218.417906618, -2072396.5246836003 13889178.225527752, -2072286.717062465 13889068.417906618, -2072246.5246836003 13888918.417906618))",90,6
