geometry,id,count
"POLYGON ((-2074996.4217060646 13888319.503751196, -2075036.6140849292 13888169.503751196, -2075146.4217060646 13888059.696130062, -2075296.4217060646 13888019.503751196, -2075446.4217060646 13888059.696130062, -2075556.2293272 13888169.503751196, -2075596.4217060646 13888319.503751196, -2075556.2293272 13888469.503751196, -2075446.4217060646 13888579.31137233, -2075296.4217060646 13888619.503751196, -2075146.4217060646 13888579.31137233, -2075036.6140849292 13888469.503751196, -2074996.4217060646 13888319.503751196))",1878,14
"POLYGON ((-2074982.3233807632 13888353.375066515, -2075022.5157596278 13888203.375066515, -2075132.3233807632 13888093.56744538, -2075282.3233807632 13888053.375066515, -2075432.3233807632 13888093.56744538, -2075542.1310018986 13888203.375066515, -2075582.3233807632 13888353.375066515, -2075542.1310018986 13888503.375066515, -2075432.3233807632 13888613.18268765, -2075282.3233807632 13888653.375066515, -2075132.3233807632 13888613.18268765, -2075022.5157596278 13888503.375066515, -2074982.3233807632 13888353.375066515))",1708,14
"POLYGON ((-2074989.4459069292 13888340.085658938, -2075029.6382857938 13888190.085658938, -2075139.4459069292 13888080.278037803, -2075289.4459069292 13888040.085658938, -2075439.4459069292 13888080.278037803, -2075549.2535280646 13888190.085658938, -2075589.4459069292 13888340.085658938, -2075549.2535280646 13888490.085658938, -2075439.4459069292 13888599.893280072, -2075289.4459069292 13888640.085658938, -2075139.4459069292 13888599.893280072, -2075029.6382857938 13888490.085658938, -2074989.4459069292 13888340.085658938))",1875,14
"POLYGON ((-2075033.9531987358 13888295.578367129, -2075074.1455776005 13888145.578367129, -2075183.9531987358 13888035.770745995, -2075333.9531987358 13887995.578367129, -2075483.9531987358 13888035.770745995, -2075593.7608198712 13888145.578367129, -2075633.9531987358 13888295.578367129, -2075593.7608198712 13888445.578367129, -2075483.9531987358 13888555.385988263, -2075333.9531987358 13888595.578367129, -2075183.9531987358 13888555.385988263, -2075074.1455776005 13888445.578367129, -2075033.9531987358 13888295.578367129))",1879,14
"POLYGON ((-2074857.1676878913 13887875.174811631, -2074897.360066756 13887725.174811631, -2075007.1676878913 13887615.367190497, -2075157.1676878913 13887575.174811631, -2075307.1676878913 13887615.367190497, -2075416.9753090267 13887725.174811631, -2075457.1676878913 13887875.174811631, -2075416.9753090267 13888025.174811631, -2075307.1676878913 13888134.982432766, -2075157.1676878913 13888175.174811631, -2075007.1676878913 13888134.982432766, -2074897.360066756 13888025.174811631, -2074857.1676878913 13887875.174811631))",2084,14
"POLYGON ((-2074987.5432118624 13888024.575356288, -2075027.735590727 13887874.575356288, -2075137.5432118624 13887764.767735153, -2075287.5432118624 13887724.575356288, -2075437.5432118624 13887764.767735153, -2075547.3508329978 13887874.575356288, -2075587.5432118624 13888024.575356288, -2075547.3508329978 13888174.575356288, -2075437.5432118624 13888284.382977422, -2075287.5432118624 13888324.575356288, -2075137.5432118624 13888284.382977422, -2075027.735590727 13888174.575356288, -2074987.5432118624 13888024.575356288))",1801,14
"POLYGON ((-2074913.9385982284 13888232.092910448, -2074954.130977093 13888082.092910448, -2075063.9385982284 13887972.285289314, -2075213.9385982284 13887932.092910448, -2075363.9385982284 13887972.285289314, -2075473.7462193638 13888082.092910448, -2075513.9385982284 13888232.092910448, -2075473.7462193638 13888382.092910448, -2075363.9385982284 13888491.900531583, -2075213.9385982284 13888532.092910448, -2075063.9385982284 13888491.900531583, -2074954.130977093 13888382.092910448, -2074913.9385982284 13888232.092910448))",1804,14
"POLYGON ((-2075049.4331992674 13888315.491179164, -2075089.625578132 13888165.491179164, -2075199.4331992674 13888055.68355803, -2075349.4331992674 13888015.491179164, -2075499.4331992674 13888055.68355803, -2075609.2408204027 13888165.491179164, -2075649.4331992674 13888315.491179164, -2075609.2408204027 13888465.491179164, -2075499.4331992674 13888575.298800299, -2075349.4331992674 13888615.491179164, -2075199.4331992674 13888575.298800299, -2075089.625578132 13888465.491179164, -2075049.4331992674 13888315.491179164))",1703,14
"POLYGON ((-2074951.987849768 13887857.491902968, -2074992.1802286326 13887707.491902968, -2075101.987849768 13887597.684281833, -2075251.987849768 13887557.491902968, -2075401.987849768 13887597.684281833, -2075511.7954709034 13887707.491902968, -2075551.987849768 13887857.491902968, -2075511.7954709034 13888007.491902968, -2075401.987849768 13888117.299524102, -2075251.987849768 13888157.491902968, -2075101.987849768 13888117.299524102, -2074992.1802286326 13888007.491902968, -2074951.987849768 13887857.491902968))",2088,14
"POLYGON ((-2075078.9728706127 13888222.433689365, -2075119.1652494774 13888072.433689365, -2075228.9728706127 13887962.62606823, -2075378.9728706127 13887922.433689365, -2075528.9728706127 13887962.62606823, -2075638.7804917481 13888072.433689365, -2075678.9728706127 13888222.433689365, -2075638.7804917481 13888372.433689365, -2075528.9728706127 13888482.2413105, -2075378.9728706127 13888522.433689365, -2075228.9728706127 13888482.2413105, -2075119.1652494774 13888372.433689365, -2075078.9728706127 13888222.433689365))",2038,14
"POLYGON ((-2075015.8016551891 13888351.003771123, -2075055.9940340538 13888201.003771123, -2075165.8016551891 13888091.196149988, -2075315.8016551891 13888051.003771123, -2075465.8016551891 13888091.196149988, -2075575.6092763245 13888201.003771123, -2075615.8016551891 13888351.003771123, -2075575.6092763245 13888501.003771123, -2075465.8016551891 13888610.811392257, -2075315.8016551891 13888651.003771123, -2075165.8016551891 13888610.811392257, -2075055.9940340538 13888501.003771123, -2075015.8016551891 13888351.003771123))",1707,14
"POLYGON ((-2074982.5083558518 13888236.556578148, -2075022.7007347164 13888086.556578148, -2075132.5083558518 13887976.748957014, -2075282.5083558518 13887936.556578148, -2075432.5083558518 13887976.748957014, -2075542.3159769871 13888086.556578148, -2075582.5083558518 13888236.556578148, -2075542.3159769871 13888386.556578148, -2075432.5083558518 13888496.364199283, -2075282.5083558518 13888536.556578148, -2075132.5083558518 13888496.364199283, -2075022.7007347164 13888386.556578148, -2074982.5083558518 13888236.556578148))",1764,14
