,name,Longitude,Latitude
214,Eastbound W Broadway @ Hemlock St,-123.134715,49.263448
215,Eastbound W Broadway @ Alder St,-123.130979,49.263381
216,Southbound Oak St @ W 12 Ave,-123.126842,49.260251
217,Southbound Oak St @ W 16 Ave,-123.127351,49.256751
218,Southbound Oak St @ Douglas Cres,-123.127471,49.254123
219,Southbound Oak St @ Balfour Ave,-123.12759,49.251423
220,Southbound Oak St @ W King Edward Ave,-123.127716,49.248653
221,Southbound Oak St @ Nanton Ave,-123.127793,49.245988
222,Southbound Oak St @ Devonshire Cres,-123.127861,49.244095
223,Southbound Oak St @ W 33 Ave,-123.12796,49.241077
224,Southbound Oak St @ W 37 Ave,-123.128102,49.237306
225,Eastbound W 4th Ave @ Tolmie St,-123.21149,49.268974
226,Eastbound W 4th Ave @ Trimble St,-123.2064,49.268907
227,Eastbound W 4th Ave @ 4100 Block,-123.197617,49.268679
228,Eastbound W 4th Ave @ Wallace St,-123.190183,49.26852
229,Eastbound W 4th Ave @ Alma St,-123.185205,49.268538
230,Southbound Alma St @ W 4th Ave,-123.18585,49.268214
231,Southbound Alma St @ W 6th Ave,-123.185897,49.266642
232,Southbound Alma St @ W 10 Ave,-123.186028,49.26367
233,Southbound Alma St @ W 12 Ave,-123.186069,49.261267
234,Southbound Dunbar Diversion @ W 14 Ave,-123.184374,49.259981
235,Southbound Dunbar St @ W 15 Ave,-123.184116,49.258657
236,Southbound Dunbar St @ W 17 Ave,-123.185245,49.257067
237,Southbound Dunbar St @ W 21 Ave,-123.18526,49.253446
238,Southbound Dunbar St @ W King Edward Ave,-123.185302,49.249684
239,Southbound Dunbar St @ W 27 Ave,-123.185322,49.247813
240,Southbound Dunbar St @ W 29 Ave,-123.185332,49.245928
241,Southbound Dunbar St @ W 31 Ave,-123.185351,49.243962
242,Southbound Dunbar St @ W 33 Ave,-123.185368,49.242056
243,Southbound Dunbar St @ W 35 Ave,-123.185397,49.240149
244,Southbound Dunbar St @ W 37 Ave,-123.185425,49.238349
