name,listing_url,neighbourhood,latitude,longitude,price,room_type,review_scores_rating,point
1170 Barclay Street - Brand new Studio,https://www.airbnb.com/rooms/50854207,"Vancouver, British Columbia, Canada",49.28506,-123.12849,120.0,Entire home/apt,4.0,POINT (-123.12849 49.28506)
"Modern, New & Luxurious 1bd suite! 30 day min",https://www.airbnb.com/rooms/50856288,"Vancouver, British Columbia, Canada",49.27559,-123.11385,169.0,Entire home/apt,5.0,POINT (-123.11385 49.27559)
Modern 2 Bedroom Condo with Stunning Sunset View,https://www.airbnb.com/rooms/50867445,"Vancouver, British Columbia, Canada",49.26298,-123.10017,414.0,Entire home/apt,5.0,POINT (-123.10017 49.26298)
Mountain-View Family Friendly Home Near The Drive,https://www.airbnb.com/rooms/50878164,"Vancouver, British Columbia, Canada",49.26111,-123.07509,235.0,Entire home/apt,4.76,POINT (-123.07509 49.26111)
Cozy 2 bedroom residential home,https://www.airbnb.com/rooms/50882256,,49.21476,-123.09021,275.0,Entire home/apt,4.56,POINT (-123.09021 49.21476)
Beautiful  2 bedroom condo in downtown Vancouver,https://www.airbnb.com/rooms/50899995,"Vancouver, British Columbia, Canada",49.27437,-123.11656,200.0,Entire home/apt,5.0,POINT (-123.11656 49.27437)
Entire Downtown 1BR+den condo with amazing view!,https://www.airbnb.com/rooms/50901194,,49.27383,-123.11319,120.0,Entire home/apt,5.0,POINT (-123.11319 49.27383)
Yaletown at its finest,https://www.airbnb.com/rooms/50902393,,49.27309,-123.12704,855.0,Entire home/apt,5.0,POINT (-123.12704 49.27309)
Luxury Coal Harbour at its finest,https://www.airbnb.com/rooms/50902531,,49.28749,-123.11823,984.0,Entire home/apt,,POINT (-123.11823 49.28749)
🚗Free Parking 🇪🇸Spanish Vibe in Chinatown 🍀ECO,https://www.airbnb.com/rooms/50921163,"Vancouver, British Columbia, Canada",49.27843,-123.09828,144.0,Entire home/apt,4.87,POINT (-123.09828 49.27843)
"Perfect Location, 1 BR, AC, & Views! Long term!",https://www.airbnb.com/rooms/50922756,"Vancouver, British Columbia, Canada",49.28026,-123.12452,265.0,Entire home/apt,5.0,POINT (-123.12452 49.28026)
1-bedroom Hidden Gem near Trout Lake,https://www.airbnb.com/rooms/50941111,"Vancouver, British Columbia, Canada",49.2514,-123.06187,133.0,Entire home/apt,5.0,POINT (-123.06187 49.2514)
Kensington-Cedar Cottage Private Suite & Entrance,https://www.airbnb.com/rooms/50942659,"Vancouver, British Columbia, Canada",49.25619,-123.07367,475.0,Entire home/apt,4.83,POINT (-123.07367 49.25619)
Modern & Comfy in the ♥ of Downtown ~ Views ~ Pool,https://www.airbnb.com/rooms/50958386,"Vancouver, British Columbia, Canada",49.2792,-123.10651,260.0,Entire home/apt,4.8,POINT (-123.10651 49.2792)
Private DT townhome+parking 5min to skytrain&arena,https://www.airbnb.com/rooms/50958509,,49.27686,-123.10103,210.0,Entire home/apt,4.82,POINT (-123.10103 49.27686)
"Perfect Upscale Location, Cozy 1 bdrm unit.",https://www.airbnb.com/rooms/50965568,,49.28384,-123.12371,204.0,Entire home/apt,4.64,POINT (-123.12371 49.28384)
Gorgeous Water View Unit in Downtown Vancouver,https://www.airbnb.com/rooms/50981703,,49.27916,-123.10808,460.0,Entire home/apt,5.0,POINT (-123.10808 49.27916)
Cozy bnb in the heart of East Van!,https://www.airbnb.com/rooms/51003603,"Vancouver, British Columbia, Canada",49.2623,-123.07706,120.0,Entire home/apt,3.5,POINT (-123.07706 49.2623)
Deluxe Downtown  Entire 1 Bedroom Condo,https://www.airbnb.com/rooms/51003647,"Vancouver, British Columbia, Canada",49.2798,-123.10667,170.0,Entire home/apt,4.77,POINT (-123.10667 49.2798)
Big BDRM/en-suite BTRM in BSMT,https://www.airbnb.com/rooms/51014630,,49.22622,-123.1222,57.0,Private room,5.0,POINT (-123.1222 49.22622)
Olympic Village Luxury 1 Bed 1 Bath Condo+Parking,https://www.airbnb.com/rooms/51018159,"Vancouver, British Columbia, Canada",49.2694,-123.10194,258.0,Entire home/apt,4.89,POINT (-123.10194 49.2694)
Stylish and very Unique Condo in the HEART of DT .,https://www.airbnb.com/rooms/51019116,"Vancouver, British Columbia, Canada",49.28064,-123.12444,130.0,Entire home/apt,5.0,POINT (-123.12444 49.28064)
"1 Bedroom, Spacious comfy and Modern  downtown Van",https://www.airbnb.com/rooms/51039979,"Vancouver, British Columbia, Canada",49.27799,-123.11139,110.0,Entire home/apt,5.0,POINT (-123.11139 49.27799)
Private room and GREAT view!,https://www.airbnb.com/rooms/51044341,"Vancouver, British Columbia, Canada",49.27539,-123.12171,80.0,Private room,4.75,POINT (-123.12171 49.27539)
2-bedroom Downstairs suite in Vancouver West,https://www.airbnb.com/rooms/51045720,"Vancouver, British Columbia, Canada",49.24324,-123.17941,120.0,Entire home/apt,4.67,POINT (-123.17941 49.24324)
One bedroom suite close to everything in Vancouver,https://www.airbnb.com/rooms/51047816,"Vancouver, British Columbia, Canada",49.258698,-123.080215,125.0,Entire home/apt,5.0,POINT (-123.080215 49.258698)
Spacious sought after 1 bedroom + den with pool,https://www.airbnb.com/rooms/51049050,,49.278938,-123.107407,185.0,Entire home/apt,4.43,POINT (-123.107407 49.278938)
Amazing Van View w/ AC in Heart of Vancouver DT,https://www.airbnb.com/rooms/51050125,,49.28084,-123.12641,139.0,Entire home/apt,4.76,POINT (-123.12641 49.28084)
Sprawling Gastown Loft,https://www.airbnb.com/rooms/51064400,"Vancouver, British Columbia, Canada",49.28367796495164,-123.1022355121563,420.0,Entire home/apt,5.0,POINT (-123.1022355121563 49.28367796495164)
Willington Heights Family Home Up to 6 People,https://www.airbnb.com/rooms/51068410,,49.280277,-123.007027,188.0,Entire home/apt,5.0,POINT (-123.007027 49.280277)
-Heart of the City-   City/Mtn view w free parking,https://www.airbnb.com/rooms/51070267,"Vancouver, British Columbia, Canada",49.28028,-123.10621,330.0,Entire home/apt,4.96,POINT (-123.10621 49.28028)
Double guest suite,https://www.airbnb.com/rooms/51073015,,49.23601,-123.12721,179.0,Entire home/apt,4.47,POINT (-123.12721 49.23601)
Amazing Central DT Location!,https://www.airbnb.com/rooms/51084220,"Vancouver, British Columbia, Canada",49.2786,-123.12437,254.0,Entire home/apt,4.56,POINT (-123.12437 49.2786)
Classic 1-bedroom rental unit in Vancouver,https://www.airbnb.com/rooms/51086931,"Vancouver, British Columbia, Canada",49.28461,-123.13246,160.0,Entire home/apt,4.2,POINT (-123.13246 49.28461)
Spacious 1-bed/1-Bath suite,https://www.airbnb.com/rooms/51088633,"Burnaby, British Columbia, Canada",49.24002,-123.00964,98.0,Entire home/apt,4.55,POINT (-123.00964 49.24002)
* PARADISE CITY * 🌆 Skyline PRIVATE Hot Tub Patio🔥,https://www.airbnb.com/rooms/51093264,"Vancouver, British Columbia, Canada",49.277096,-123.108803,540.0,Entire home/apt,4.99,POINT (-123.108803 49.277096)
Beautiful & Unique Loft in the ❤ Of Vancouver DWTN,https://www.airbnb.com/rooms/51110418,,49.27804,-123.1211,236.0,Entire home/apt,4.75,POINT (-123.1211 49.27804)
1 BR with ensuite full bathroom - near YVR airport,https://www.airbnb.com/rooms/51110447,,49.20227,-123.13412,65.0,Private room,5.0,POINT (-123.13412 49.20227)
Japanese Garden | One Bedroom |,https://www.airbnb.com/rooms/51112344,"Vancouver, British Columbia, Canada",49.21478,-123.14897,118.0,Entire home/apt,4.5,POINT (-123.14897 49.21478)
Commercial Drive - rooftop with views of Vancouver,https://www.airbnb.com/rooms/51123803,"Vancouver, British Columbia, Canada",49.2692,-123.0762,400.0,Entire home/apt,4.5,POINT (-123.0762 49.2692)
"one clean, spacious  bedroom in Metrotown",https://www.airbnb.com/rooms/51126986,,49.22425,-123.00919,2286.0,Private room,,POINT (-123.00919 49.22425)
Lovely 1 bedroom with free parking on premises.,https://www.airbnb.com/rooms/51128701,,49.2596,-123.11891,143.0,Entire home/apt,4.79,POINT (-123.11891 49.2596)
1BR Downtown Vancouver Walk to Everything,https://www.airbnb.com/rooms/51129032,"Vancouver, British Columbia, Canada",49.27964,-123.108856,276.0,Entire home/apt,4.93,POINT (-123.108856 49.27964)
Air Oasis bright 1 bedroom garden suite w/ air con,https://www.airbnb.com/rooms/51130737,"Vancouver, British Columbia, Canada",49.22833,-123.10478,103.0,Entire home/apt,4.86,POINT (-123.10478 49.22833)
Bright & Spacious Suite In The Heart of Main St,https://www.airbnb.com/rooms/51145875,"Vancouver, British Columbia, Canada",49.24993,-123.1002,150.0,Entire home/apt,5.0,POINT (-123.1002 49.24993)
106 One bedroom at the Electra (Semi Furnished),https://www.airbnb.com/rooms/51146115,,49.28038,-123.12618,87.0,Entire home/apt,5.0,POINT (-123.12618 49.28038)
Fantastic  ocean and city views with parking,https://www.airbnb.com/rooms/51152635,"Vancouver, British Columbia, Canada",49.27565,-123.12896,121.0,Entire home/apt,4.17,POINT (-123.12896 49.27565)
1425 Haro St - 3 Bedrooms - Downtown Vancouver,https://www.airbnb.com/rooms/51154737,"Vancouver, British Columbia, Canada",49.2871,-123.13214,205.0,Entire home/apt,,POINT (-123.13214 49.2871)
New apartment at the Downtown Richmond,https://www.airbnb.com/rooms/51155118,"Richmond, British Columbia, Canada",49.190174,-123.133492,225.0,Entire home/apt,4.57,POINT (-123.133492 49.190174)
Modern Suite near PNE🎪 w/ Fenced bkyard & Parking,https://www.airbnb.com/rooms/51173023,"Vancouver, British Columbia, Canada",49.275593,-123.037613,161.0,Entire home/apt,5.0,POINT (-123.037613 49.275593)
City Centre 1 bedroom w/PARKING!!!,https://www.airbnb.com/rooms/51189114,,49.28052,-123.12463,198.0,Entire home/apt,4.61,POINT (-123.12463 49.28052)
Commercial Drive modern character home + sun deck,https://www.airbnb.com/rooms/51194450,"Vancouver, British Columbia, Canada",49.26661,-123.0567,256.0,Entire home/apt,4.6,POINT (-123.0567 49.26661)
Commercial Drive modern character 1bed+bath,https://www.airbnb.com/rooms/51195391,"Vancouver, British Columbia, Canada",49.26571,-123.05677,139.0,Private room,4.87,POINT (-123.05677 49.26571)
Spacious and Modern 1 BDR Suite in South Van,https://www.airbnb.com/rooms/51195970,,49.21473,-123.09433,123.0,Entire home/apt,5.0,POINT (-123.09433 49.21473)
Mt Pleasant Family Heritage House,https://www.airbnb.com/rooms/51196059,,49.26296,-123.10715,550.0,Entire home/apt,4.7,POINT (-123.10715 49.26296)
Ocean & Mountain View - 98 Walking Score,https://www.airbnb.com/rooms/51197209,"Vancouver, British Columbia, Canada",49.27564,-123.12832,275.0,Entire home/apt,5.0,POINT (-123.12832 49.27564)
UBC/YVR/Bus/1bd/Privatebath/AC/Naturallight-C,https://www.airbnb.com/rooms/51197695,"Vancouver, British Columbia, Canada",49.22443,-123.14888,70.0,Private room,4.75,POINT (-123.14888 49.22443)
"New 2-bedroom, 1.5 bathroom laneway house!",https://www.airbnb.com/rooms/51213577,,49.24094,-123.06918,214.0,Entire home/apt,5.0,POINT (-123.06918 49.24094)
SSpecial* New Apartment w/workingspace@oakridge,https://www.airbnb.com/rooms/51214880,,49.23262,-123.1147,203.0,Entire home/apt,4.63,POINT (-123.1147 49.23262)
"★Bright & Stylish 1-BD w/ Stunning View, Parking★",https://www.airbnb.com/rooms/51216976,"Vancouver, British Columbia, Canada",49.27837,-123.10839,301.0,Entire home/apt,4.94,POINT (-123.10839 49.27837)
Downtown 270° Sea& Mountain& City View by SkyTrain,https://www.airbnb.com/rooms/51217071,"Vancouver, British Columbia, Canada",49.2801,-123.10828,358.0,Entire home/apt,4.87,POINT (-123.10828 49.2801)
"Modern, bright,spacious 2BR suite, family friendly",https://www.airbnb.com/rooms/51217939,"Vancouver, British Columbia, Canada",49.23457,-123.077988,125.0,Entire home/apt,4.93,POINT (-123.077988 49.23457)
In the ❤ of Yaletown 2Bdrm/2Bath . Pool Sauna Gym,https://www.airbnb.com/rooms/51219108,,49.27781,-123.11919,566.0,Entire home/apt,5.0,POINT (-123.11919 49.27781)
"Spacious 2 bedroom, 1 bathroom, heated pool & gym",https://www.airbnb.com/rooms/51219261,"Vancouver, British Columbia, Canada",49.27788,-123.12905,500.0,Entire home/apt,5.0,POINT (-123.12905 49.27788)
"Bright, Heritage Home, with Deck & Backyard!!",https://www.airbnb.com/rooms/51230054,"Vancouver, British Columbia, Canada",49.25503,-123.07242,299.0,Entire home/apt,4.87,POINT (-123.07242 49.25503)
NEW LUXURY 1 BED CONDO 15 min to Downtown w/AIRCON,https://www.airbnb.com/rooms/51238612,"Vancouver, British Columbia, Canada",49.23785,-123.0318,106.0,Entire home/apt,5.0,POINT (-123.0318 49.23785)
Stylish apt in the heart of Chinatown w/Parking,https://www.airbnb.com/rooms/51248997,,49.28164,-123.09936,195.0,Entire home/apt,5.0,POINT (-123.09936 49.28164)
*NEW*GORGEOUS 3BR 2.5BATH HOME KILLARNEY 15MIN 2DT,https://www.airbnb.com/rooms/51252620,,49.23235,-123.04779,406.0,Entire home/apt,4.63,POINT (-123.04779 49.23235)
Central Van/UBC/Quiet 1 bd Private bath/AC/Bus-D,https://www.airbnb.com/rooms/51262196,"Vancouver, British Columbia, Canada",49.22422,-123.14729,66.0,Private room,4.33,POINT (-123.14729 49.22422)
Private 2BR in a convenient location in Vancouver,https://www.airbnb.com/rooms/51263979,"Vancouver, British Columbia, Canada",49.23984,-123.04397,165.0,Entire home/apt,4.89,POINT (-123.04397 49.23984)
"1 bedroom, 1 bath, with living space -free parking",https://www.airbnb.com/rooms/51266313,,49.22589,-123.05035,115.0,Entire home/apt,4.86,POINT (-123.05035 49.22589)
Artsy 3BR Condo ❤️HEART❤️of Downtown,https://www.airbnb.com/rooms/51270467,"Vancouver, British Columbia, Canada",49.27804,-123.12313,299.0,Entire home/apt,,POINT (-123.12313 49.27804)
Cozy room with shared bathroom near UBC,https://www.airbnb.com/rooms/51271006,"Vancouver, British Columbia, Canada",49.26323,-123.2045,129.0,Private room,4.93,POINT (-123.2045 49.26323)
East Van Hideaway,https://www.airbnb.com/rooms/51271221,"Vancouver, British Columbia, Canada",49.27511,-123.0652,250.0,Entire home/apt,4.81,POINT (-123.0652 49.27511)
Cute & Cozy Mount Pleasant Gem! Pet friendly!,https://www.airbnb.com/rooms/51272410,"Vancouver, British Columbia, Canada",49.26598,-123.08747,173.0,Entire home/apt,4.44,POINT (-123.08747 49.26598)
