,stop_no,stop_name,line_con,Longitude,Latitude
248,50378,Eastbound W 41 Ave @ Macdonald St,041,-123.166968,49.234665
249,50379,Eastbound W 41 Ave @ Elm St,041,-123.16364,49.234632
250,50380,Eastbound W 41 Ave @ Balsam St,041,-123.160946,49.234588
251,50381,Eastbound W 41 Ave @ Yew St,041,-123.158131,49.234552
252,50383,Eastbound W 41 Ave @ Maple St,041,-123.151616,49.234437
253,50384,Eastbound W 41 Ave @ Cypress St,041,-123.148854,49.234394
254,50385,Eastbound W 41 Ave @ Wiltshire St,041,-123.145952,49.234351
255,50386,Eastbound W 41 Ave @ Adera St,041,-123.142893,49.2343
256,50388,Eastbound W 41 Ave @ Granville St,041,-123.140768,49.234268
257,50389,Eastbound W 4th Ave @ Collingwood St,004; 007,-123.181214,49.268471
258,50393,Eastbound W 4th Ave @ Macdonald St,004; 007; 014; 044; 084,-123.167779,49.268274
259,50394,Eastbound W 4th Ave @ Trafalgar St,004; 007; 014,-123.164123,49.268236
260,50397,Eastbound W 4th Ave @ Vine St,004; 007; 014; 044; 084,-123.156884,49.268115
261,50398,Eastbound W 4th Ave @ Arbutus St,004; 007; 014,-123.152371,49.268041
262,50400,Eastbound W 4th Ave @ Burrard St,004; 007; 014; 084,-123.145082,49.26793
263,50401,Eastbound W 4th Ave @ Fir St,004; 007; 014; 050; 084,-123.140145,49.267853
264,50403,Westbound W 5th Ave @ Granville St,004; 007; 014; 050,-123.137905,49.266843
265,50405,Burrard Station @ Bay 2,209; 210; 211; 214,-123.12037,49.286035
266,50406,Eastbound W Pender St @ Thurlow St,019; 209; 210; 211; 214,-123.119204,49.287073
267,50407,Northbound Homer St @ W Pender St,014; 209; 210; 211; 214,-123.111441,49.282981
268,50408,Northbound Seymour St @ W Hastings St,044; R5,-123.112535,49.28481
269,50410,Southbound Cambie St @ W Hastings St,004; 019; 050,-123.109799,49.282211
270,50411,Eastbound Nelson St @ Cambie St,017; N15,-123.117719,49.275788
271,50412,Southbound Cambie St @ W 7th Ave,015; 017; N15,-123.114982,49.264477
272,50414,Southbound Cambie St @ W 12 Ave,015; N15,-123.115144,49.260113
273,50415,Southbound Cambie St @ W 16 Ave,015; 033; N15,-123.115252,49.256555
274,50416,Southbound Cambie St @ W 18 Ave,015; 033; N15,-123.115282,49.254674
275,50417,Southbound Cambie St @ W 20 Ave,015; 033; N15,-123.115379,49.252766
276,50418,Southbound Cambie St @ W 22 Ave,015; 033; N15,-123.115447,49.250985
277,50419,King Edward Station @ Bay 4,015; 033; N15,-123.115722,49.248634
278,50421,Southbound Cambie St @ W 31 Ave,015; N15,-123.118428,49.242949
279,50422,Southbound Cambie St @ W 33 Ave,015; N15,-123.118651,49.24075
280,50423,Southbound Cambie St @ W 35 Ave,015; N15,-123.116678,49.238762
281,50424,Southbound Cambie St @ W 37 Ave,015; N15,-123.11629,49.237007
282,50425,Eastbound E Cordova St @ Main St,004; 007; 209; 210; 211; 214,-123.098943,49.282203
283,50426,Eastbound E Cordova St @ Dunlevy Ave,004; 007; 209,-123.094846,49.282136
284,50427,Eastbound E Cordova St @ Princess Ave,004; 007; 209,-123.091063,49.282067
285,50429,Eastbound Powell St @ Glen Dr,004; 007; 209,-123.081697,49.282672
286,50431,Eastbound Powell St @ Clark Dr,004; 007; 209,-123.076625,49.283029
287,50433,Eastbound Powell St @ Commercial Dr,004; 007; 209; 210; 211; 214,-123.069837,49.283885
288,50435,Eastbound Powell St @ Victoria Dr,004; 007; 209,-123.065065,49.284771
289,50436,Eastbound Dundas St @ Lakewood Dr,004; 007; 209,-123.061245,49.284754
290,50437,Eastbound Dundas St @ Templeton Dr,004; 007; 209,-123.059274,49.284738
291,50438,Northbound N Nanaimo St @ Dundas St,004; 209; 210; 211; 214,-123.05639,49.285176
292,50440,Northbound N Nanaimo St @ Eton St,004; 209,-123.056367,49.288013
293,50442,Eastbound McGill St @ N Penticton St,004; 209,-123.051421,49.288627
294,50443,Eastbound McGill St @ N Slocan St,004; 209,-123.048823,49.288617
295,50445,Westbound Eton St @ N Renfrew St,004,-123.044683,49.287774
296,50446,Eastbound McGill St @ N Renfrew St,209; 210; 211; 214,-123.0434,49.288595
297,50449,Westbound McGill St @ N Renfrew St,209; 210; 211; 214,-123.044601,49.288825
298,50451,Northbound Oak St @ W 38 Ave,017,-123.12785,49.237021
299,50453,Northbound Oak St @ W 33 Ave,017,-123.12769,49.241748
300,50454,Northbound Oak St @ Devonshire Cres,017,-123.127493,49.244894
301,50455,Northbound Oak St @ W 27 Ave,017,-123.12749,49.247506
302,50456,Northbound Oak St @ W King Edward Ave,017,-123.127357,49.249632
303,50457,Northbound Oak St @ W 22 Ave,017,-123.127311,49.251967
304,50458,Northbound Oak St @ W 20 Ave,017,-123.127236,49.253935
305,50459,Northbound Oak St @ W 17 Ave,017,-123.127109,49.256575
306,50464,Westbound W Broadway @ Spruce St,009; 017; N9,-123.129369,49.26354
307,50465,Westbound W Broadway @ Alder St,009; N9,-123.131742,49.263576
308,50467,Oakridge-41st Ave Station @ Bay 6,015; N15,-123.115953,49.233905
309,50469,Northbound Cambie St @ W 37 Ave,015; N15,-123.1158,49.237495
310,50471,Northbound Cambie St @ W 33 Ave,015; N15,-123.11818,49.241409
311,50475,King Edward Station @ Bay 2,015; 033; N15,-123.115245,49.249415
312,50476,Northbound Cambie St @ W 22 Ave,015; 033; N15,-123.115164,49.251472
313,50477,Northbound Cambie St @ W 20 Ave,015; 033; N15,-123.115102,49.253243
314,50478,Northbound Cambie St @ W 18 Ave,015; 033; N15,-123.115019,49.255125
315,50479,Northbound Cambie St @ W 16 Ave,015; N15,-123.114908,49.257158
316,50480,Northbound Cambie St @ W 14 Ave,015; N15,-123.114893,49.258988
317,50481,Northbound Cambie St @ W 12 Ave,015; 017; N15,-123.114831,49.260758
318,50483,Northbound Cambie St @ W 7th Ave,015; 017; N15,-123.114622,49.264648
319,50489,Westbound McGill St @ N Kaslo St,004; 209,-123.047415,49.28882
320,50490,Westbound McGill St @ N Penticton St,004; 209,-123.052418,49.288801
321,50491,Southbound N Nanaimo St @ McGill St,004; 209,-123.05666,49.288026
322,50492,Southbound N Nanaimo St @ Cambridge St,004; 209,-123.056672,49.286276
323,50493,Westbound Dundas St @ N Garden Dr,004; 007; 209; 210; 211; 214,-123.057411,49.284885
324,50494,Westbound Dundas St @ N Templeton Dr,004; 007; 209,-123.060143,49.284871
325,50495,Westbound Dundas St @ Wall St,004; 007; 209,-123.063271,49.284888
326,50496,Westbound Powell St @ Victoria Dr,004; 007; 209,-123.065973,49.2848
327,50499,Westbound E Hastings St @ Commercial Dr,014; 016; 020; N20; N35; R5,-123.071174,49.281362
328,50500,Westbound E Hastings St @ McLean Dr,014; 016; 020; N20; N35,-123.074606,49.281378
329,50501,Westbound E Hastings St @ Clark Dr,014; 016; 020; N20; N35,-123.077888,49.281445
330,50502,Westbound E Hastings St @ Glen Dr,014; 016; 020; N20; N35,-123.081789,49.281111
331,50503,Westbound E Hastings St @ Campbell Ave,014; 016; 020; N20; N35,-123.085249,49.281155
332,50506,Westbound E Hastings St @ Jackson Ave,014; 016; 020; N20; N35,-123.093904,49.281321
333,50507,Westbound E Hastings St @ Dunlevy Ave,014; 016; 020; N20; N35,-123.095847,49.281356
334,50508,Westbound Powell St @ Commercial Dr,004; 007; 209; 210; 211; 214,-123.070862,49.283837
335,50512,Westbound Powell St @ Glen Dr,004; 007; 209,-123.081659,49.282792
336,50513,Westbound Powell St @ Hawks Ave,004; 007; 209,-123.087522,49.28303
337,50514,Westbound Powell St @ Heatley Ave,004; 007; 209; 210; 211; 214,-123.089941,49.283076
338,50515,Westbound Powell St @ Jackson Ave,004; 007; 209,-123.093725,49.283146
339,50516,Westbound Powell St @ Gore Ave,004; 007; 209,-123.098134,49.283223
340,50520,Eastbound E Pender St @ Main St,019; N19,-123.100047,49.280329
341,50526,Southbound Granville St @ W Pender St,004; 007; 010; 014; 016; 050,-123.115939,49.284039
342,50532,Southbound Granville St @ Nelson St,004; 007; 010; 014; 016; 050,-123.12295,49.27941
343,50535,Southbound Granville St @ Davie St,004; 007; 010; 014; 016; 050,-123.126905,49.276786
344,50536,Southbound Granville St @ Drake St,004; 007; 010; 014; 016; 050,-123.128375,49.275854
345,50537,Westbound W Cloverleaf @ Granville St,004; 007; 014; 050,-123.139046,49.266837
346,50539,Southbound Granville St @ W 7th Ave,016; N10; N17; N9,-123.138634,49.26511
347,50540,Westbound W Broadway @ Granville St,009; N17,-123.140158,49.263732
348,50542,Southbound Granville St @ W 11 Ave,010; 016; N10,-123.138768,49.261424
349,50543,Southbound Granville St @ W 13 Ave,010; N10,-123.138834,49.259524
350,50544,Southbound Granville St @ W 15 Ave,010; N10,-123.138899,49.257667
351,50545,Southbound Granville St @ Angus Dr,010; N10,-123.13903,49.254178
352,50546,Southbound Granville St @ Matthews Ave,010; N10,-123.139073,49.252781
353,50547,Southbound Granville St @ Laurier Ave,010; N10,-123.139186,49.2505
354,50550,Southbound Granville St @ N Connaught Dr,010; N10,-123.139357,49.244793
355,50551,Southbound Granville St @ W 32 Ave,010; N10,-123.139408,49.243251
356,50552,Southbound Granville St @ W 33 Ave,010; N10,-123.139454,49.241525
357,50553,Southbound Granville St @ W 35 Ave,010; N10,-123.139528,49.239615
358,50554,Southbound Granville St @ W 37 Ave,010; N10,-123.139593,49.237706
359,50555,Southbound Granville St @ S Connaught Dr,010; N10,-123.139659,49.235947
360,50556,Southbound Granville St @ W 40 Ave,010,-123.139751,49.235048
361,50557,Westbound W Broadway @ Pine St,009; N17,-123.143781,49.263769
362,50558,Westbound W Broadway @ Burrard St,009; N17,-123.146302,49.263829
363,50561,Westbound W Broadway @ Yew St,009; N17,-123.155724,49.263962
364,50562,Westbound W Broadway @ Balsam St,009; N17,-123.160487,49.264051
365,50563,Westbound W Broadway @ Trafalgar St,009; N17,-123.165212,49.264113
366,50564,Westbound W Broadway @ Macdonald St,009; 014; N17,-123.168896,49.264174
367,50565,Westbound W Broadway @ Bayswater St,009; 014; N17,-123.171711,49.264221
368,50566,Westbound W Broadway @ Balaclava St,009; 014; N17,-123.174408,49.264241
369,50567,Westbound W Broadway @ Blenheim St,009; 014; N17,-123.178243,49.264311
370,50568,Westbound W Broadway @ Collingwood St,009; 014; N17,-123.182257,49.264377
371,50571,Westbound W 10 Ave @ Wallace St,009; 014; N17,-123.191417,49.263644
372,50572,Westbound W 10 Ave @ Crown St,009; 014; N17,-123.194468,49.263683
373,50573,Westbound W 10 Ave @ Camosun St,009; 014; N17,-123.197332,49.263725
374,50574,Westbound W 10 Ave @ Courtenay St,009; 014; N17,-123.200725,49.263781
375,50575,Westbound W 10 Ave @ Discovery St,009; 014; N17,-123.203438,49.263828
376,50576,Westbound W 10 Ave @ Trimble St,009; 014; N17,-123.206461,49.263863
377,50577,Westbound W 10 Ave @ Tolmie St,009; 014; N17,-123.212506,49.263966
378,50578,Westbound W 4th Ave @ Fir St,004; 007; 014; 084,-123.141569,49.268039
379,50579,Westbound W 4th Ave @ Burrard St,004; 007; 014; 084,-123.146085,49.268106
380,50581,Westbound W 4th Ave @ Arbutus St,004; 007; 014,-123.153127,49.268224
381,50583,Westbound W 4th Ave @ Balsam St,004; 007; 014,-123.160246,49.26833
382,50584,Westbound W 4th Ave @ Trafalgar St,004; 007; 014,-123.164962,49.268401
383,50585,Westbound W 4th Ave @ Macdonald St,004; 007; 044; 084,-123.168863,49.268459
384,50587,Westbound W 4th Ave @ Balaclava St,004; 007,-123.174217,49.268528
385,50588,Westbound W 4th Ave @ Blenheim St,004; 007,-123.178075,49.268578
386,50589,Westbound W 4th Ave @ Collingwood St,004; 007,-123.182096,49.268649
387,50590,Westbound W 4th Ave @ Alma St,004; 042; 044; 084,-123.186254,49.26871
388,50591,Westbound W 4th Ave @ Wallace St,004; 042,-123.191056,49.268794
389,50593,Westbound W 4th Ave @ 4100 Block,004; 042,-123.197836,49.268917
390,50594,Westbound W 4th Ave @ NW Marine Dr,004; 044; 084,-123.200584,49.268604
391,50595,Westbound W 4th Ave @ Trimble St,004,-123.206426,49.269028
392,50596,Westbound W 4th Ave @ Sasamat St,004,-123.209399,49.269083
393,50598,Southbound Blanca St @ W 4th Ave,004; 044; 084,-123.215183,49.268693
394,50600,Blanca Loop @ Bay 2,004,-123.215302,49.265146
395,50601,Westbound University Blvd @ Blanca St,004; 009; 014; N17,-123.215915,49.264016
