,name,listing_url,neighbourhood,latitude,longitude,price,room_type,review_scores_rating,entertainment,food,leisure,transportation,shop,tourism
3180,M0 private room with bath,https://www.airbnb.com/rooms/47996749,,49.21942,-123.00544,65.0,Private room,0.95,0.0,0.0,0.0,0.0,0.0,0.0
3181,"Spacious new apt 4 beds 2 baths,close to beach&UBC",https://www.airbnb.com/rooms/47997875,"Vancouver, British Columbia, Canada",49.26073,-123.21111,238.0,Entire home/apt,0.8699999999999999,0.0,0.0,0.0,0.0,0.0,0.0
3182,1170 Barclay St- Brand New Luxury Downtown Studio,https://www.airbnb.com/rooms/48004011,"Vancouver, British Columbia, Canada",49.28406,-123.12878,120.0,Entire home/apt,0.95,0.0,0.023631817393067776,0.0,0.0008042086921556143,0.06947967866928834,0.0
3183,1170 Barclay Street - Brand new Studio - Downtown,https://www.airbnb.com/rooms/48004157,"Vancouver, British Columbia, Canada",49.28406,-123.12878,123.0,Entire home/apt,0.8,0.0,0.023631817393067776,0.0,0.0008042086921556143,0.06947967866928834,0.0
3184,1170 Barclay Street - Brand new Studio - Downtown,https://www.airbnb.com/rooms/48004886,"Vancouver, British Columbia, Canada",49.28406,-123.12878,123.0,Entire home/apt,1.0,0.0,0.023631817393067776,0.0,0.0008042086921556143,0.06947967866928834,0.0
3185,DOWNTOWN PENTHOUSE -  1 bed/2 bath 1170 Barclay St,https://www.airbnb.com/rooms/48005143,"Vancouver, British Columbia, Canada",49.28406,-123.12878,175.0,Entire home/apt,0.6,0.0,0.023631817393067776,0.0,0.0008042086921556143,0.06947967866928834,0.0
3186,1170 Barclay Street - Brand new 2 bedrooms,https://www.airbnb.com/rooms/48005353,"Vancouver, British Columbia, Canada",49.28406,-123.12878,175.0,Entire home/apt,1.0,0.0,0.023631817393067776,0.0,0.0008042086921556143,0.06947967866928834,0.0
3187,"New / Luxury - 2 Bedroom, 2 Bathroom - Downtown",https://www.airbnb.com/rooms/48006117,"Vancouver, British Columbia, Canada",49.28406,-123.12878,160.0,Entire home/apt,,0.0,0.023631817393067776,0.0,0.0008042086921556143,0.06947967866928834,0.0
3188,The Minthouse 💚 PrivGarden 🌺 | Safe | FreePKG 👍,https://www.airbnb.com/rooms/48015009,"Vancouver, British Columbia, Canada",49.28844,-123.12299,319.0,Entire home/apt,0.8400000000000001,0.0,0.0942690726024791,0.0,0.034983078108769224,0.0422715867146674,0.005405405405405406
3189,NEW! Modern Farmhouse in Mount Pleasant,https://www.airbnb.com/rooms/48019527,"Vancouver, British Columbia, Canada",49.26161,-123.10126,125.0,Entire home/apt,0.9339999999999999,0.0,0.0,0.0,0.016888382535267903,0.0,0.18078078078078078
